"","AphiaID","aphiaid","speciesorig","speciesclean","scientificname","wm_attrs","wm_classes"
"1",-9223372036854775808,-9223372036854775808,"nanoflagellates","nanoflagellates","nanoflagellates","NA",NA
"2",801,801,"clorophyte","chlorophyte","Chlorophyta","Paraphyletic group:Algae","Plantae_Viridiplantae_Chlorophyta"
"3",17657,17657,"Eutreptiella sp.","Eutreptiella sp.","Eutreptiella sp.","Functional group:plankton > phytoplankton","Protozoa_Eozoa_Euglenozoa_Euglenozoa_Euglenoidea_Euglenia_Eutreptiida_Eutreptiaceae_Eutreptiella"
"4",106283,106283,"Plagioselmis sp.","Plagioselmis sp.","Plagioselmis sp.","Functional group:plankton > phytoplankton","Chromista_Hacrobia_Cryptophyta_Cryptophyceae_Pyrenomonadales_Geminigeraceae_Plagioselmis"
"5",106285,106285,"Teleaulax sp.","Teleaulax sp.","Teleaulax sp.","Functional group:plankton > phytoplankton","Chromista_Hacrobia_Cryptophyta_Cryptophyceae_Pyrenomonadales_Geminigeraceae_Teleaulax"
"6",106289,106289,"Rhodomonas sp.","Rhodomonas sp.","Rhodomonas sp.","Functional group:plankton > phytoplankton","Chromista_Hacrobia_Cryptophyta_Cryptophyceae_Pyrenomonadales_Pyrenomonadaceae_Rhodomonas"
"7",106314,106314,"Rhodomonas marina","Rhodomonas marina","Rhodomonas marina","Functional group:plankton > phytoplankton","Chromista_Hacrobia_Cryptophyta_Cryptophyceae_Pyrenomonadales_Pyrenomonadaceae_Rhodomonas_Rhodomonas marina"
"8",109421,109421,"Ceratium lineatum","Ceratium lineatum","Tripos lineatus","NA","Chromista_Harosa_Alveolata_Myzozoa_Dinozoa_Dinoflagellata_Dinophyceae_Gonyaulacales_Ceratiaceae"
"9",109462,109462,"Dinophysis sp.","Dinophysis sp.","Dinophysis sp.","Functional group:plankton > phytoplankton","Chromista_Harosa_Alveolata_Myzozoa_Dinozoa_Dinoflagellata_Dinophyceae_Dinophysiales_Dinophysaceae_Dinophysis"
"10",109463,109463,"Histioneis sp.","Histioneis sp.","Histioneis sp.","Functional group:plankton > phytoplankton, Functional group:mixoplankton > endosymbiotic Specialist Non-Constitutive Mixoplankton (eSNCM)","Chromista_Harosa_Alveolata_Myzozoa_Dinozoa_Dinoflagellata_Dinophyceae_Dinophysiales_Dinophysaceae_Histioneis"
"11",109464,109464,"Ornithocercus sp.","Ornithocercus sp.","Ornithocercus sp.","Functional group:plankton > phytoplankton, Functional group:mixoplankton > endosymbiotic Specialist Non-Constitutive Mixoplankton (eSNCM)","Chromista_Harosa_Alveolata_Myzozoa_Dinozoa_Dinoflagellata_Dinophyceae_Dinophysiales_Dinophysaceae_Ornithocercus"
"12",109466,109466,"Phalachroma sp.","Phalacroma sp.","Phalacroma sp.","Functional group:plankton > phytoplankton, Functional group:plankton > phytoplankton","Chromista_Harosa_Alveolata_Myzozoa_Dinozoa_Dinoflagellata_Dinophyceae_Dinophysiales_Oxyphysaceae_Phalacroma"
"13",109468,109468,"Fragilidium sp.","Fragilidium sp.","Fragilidium sp.","Functional group:plankton > phytoplankton","Chromista_Harosa_Alveolata_Myzozoa_Dinozoa_Dinoflagellata_Dinophyceae_Gonyaulacales_Pyrophacaceae_Fragilidium"
"14",109470,109470,"Alexandrium sp.","Alexandrium sp.","Alexandrium sp.","Functional group:plankton > phytoplankton","Chromista_Harosa_Alveolata_Myzozoa_Dinozoa_Dinoflagellata_Dinophyceae_Gonyaulacales_Ostreopsidaceae_Alexandrium"
"15",109473,109473,"Amphidinium sp.","Amphidinium sp.","Amphidinium sp.","Functional group:plankton > phytoplankton","Chromista_Harosa_Alveolata_Myzozoa_Dinozoa_Dinoflagellata_Dinophyceae_Amphidiniales_Amphidiniaceae_Amphidinium"
"16",109474,109474,"Cochlodinium sp.","Cochlodinium sp.","Cochlodinium sp.","Functional group:plankton > phytoplankton","Chromista_Harosa_Alveolata_Myzozoa_Dinozoa_Dinoflagellata_Dinophyceae_Gymnodiniales_Gymnodiniaceae_Cochlodinium"
