;AphiaID;aphiaid;speciesorig;speciesclean;scientificname;classificationgroup;functionalgroup_old;wm_attrs;wm_classes
495;235802;235802;Acanthoica cuatrospina;Acanthoica quattrospina;Acanthoica quattrospina;;COCCOLITHOPHORIDS;Functional group:plankton > phytoplankton;Chromista_Hacrobia_Haptophyta_Prymnesiophyceae_Syracosphaerales_Rhabdosphaeraceae_Acanthoica_Acanthoica quattrospina
181;115083;115083;Acanthoica sp. ;Acanthoica sp.;Acanthoica sp.;;COCCOLITHOPHORIDS;Functional group:plankton > phytoplankton;Chromista_Hacrobia_Haptophyta_Prymnesiophyceae_Syracosphaerales_Rhabdosphaeraceae_Acanthoica
335;156537;156537;Achnanthes cf. taeniata;Achnanthes cf. taeniata;Pauliella cf. taeniata;;DIATOMS;NA;Chromista_Harosa_Heterokonta_Ochrophyta_Khakista_Bacillariophyceae_Bacillariophycidae_Bacillariophycanae_Achnanthales_Achnanthaceae_Achnanthes_Achnanthes taeniata
278;149191;149191;Achnanthes sp.;Achnanthes sp.;Achnanthes sp.;;DIATOMS;Functional group:plankton > phytoplankton;Chromista_Harosa_Heterokonta_Ochrophyta_Khakista_Bacillariophyceae_Bacillariophycidae_Bacillariophycanae_Achnanthales_Achnanthaceae_Achnanthes
51;109717;109717;Actiniscus pentasterias;Actiniscus pentasterias;Actiniscus pentasterias;;DINOFLAGELLATES;Body size:32, Body size:50, Body size (qualitative):<0.2 mm, Functional group:plankton > microplankton, Functional group:plankton > zooplankton;Chromista_Harosa_Alveolata_Myzozoa_Dinozoa_Dinoflagellata_Dinophyceae_Actiniscales_Actiniscaceae_Actiniscus_Actiniscus pentasterias
444;232546;232546;Akashiwa sanguinea;Akashiwo sanguinea;Akashiwo sanguinea;;DINOFLAGELLATES;Body size (qualitative):<0.2 mm, Functional group:plankton > microplankton, Functional group:plankton > nanoplankton, Functional group:mixoplankton > Constitutive Mixoplankton (CM);Chromista_Harosa_Alveolata_Myzozoa_Dinozoa_Dinoflagellata_Dinophyceae_Gymnodiniales_Gymnodiniaceae_Akashiwo_Akashiwo sanguinea
482;233420;233420;Alexandrium cohorticola;Alexandrium cohorticola;Alexandrium cohorticula;;DINOFLAGELLATES;NA;Chromista_Harosa_Alveolata_Myzozoa_Dinozoa_Dinoflagellata_Dinophyceae_Gonyaulacales_Ostreopsidaceae_Alexandrium_Alexandrium cohorticula
422;231875;231875;Alexandrium monilatum;Alexandrium monilatum;Alexandrium monilatum;;DINOFLAGELLATES;NA;Chromista_Harosa_Alveolata_Myzozoa_Dinozoa_Dinoflagellata_Dinophyceae_Gonyaulacales_Ostreopsidaceae_Alexandrium_Alexandrium monilatum
14;109470;109470;Alexandrium sp.;Alexandrium sp.;Alexandrium sp.;;DINOFLAGELLATES;Functional group:plankton > phytoplankton;Chromista_Harosa_Alveolata_Myzozoa_Dinozoa_Dinoflagellata_Dinophyceae_Gonyaulacales_Ostreopsidaceae_Alexandrium
50;109714;109714;Alexandrium tamarensis;Alexandrium tamarensis;Alexandrium tamarense;;DINOFLAGELLATES;Body size (qualitative):<0.2 mm, Functional group:plankton > microplankton, Functional group:mixoplankton > Constitutive Mixoplankton (CM);Chromista_Harosa_Alveolata_Myzozoa_Dinozoa_Dinoflagellata_Dinophyceae_Gonyaulacales_Ostreopsidaceae_Alexandrium_Alexandrium tamarense
