unlimited,year,ISO_DateTime_UTC,ISO_DateTime_local,month,day,hour,Date,decimal_year,Longitude,Latitude,Cruise_number,Cruise_Leg,Station,Cast_number,Biogeochemical_Cruise_ID,Core_CARIACO_ID,Notes,Comments,Depth,Corrected_Depth,Winkler_O2_avg,Winkler_O2_flags,NO3,NO2,NH4,PO4,H2S,H2S_comment,CH4,CH4_comment,Acetate,Propionate,Incorporation_Acetate_Uptake_rate_constant,Respiration_Acetate_Uptake_rate_constant,Total_Acetate_uptake_rate_constant,Sulfite,SD_Sulfite,Thiosulfate,SD_Thiosulfate,Particulate_Elemental_sulfur,SD_Particulate_Elemental_sulfur,Particulate_element_sulfur_flags,Total_zero_valent_sulfur,SD_Total_zero_valent_sulfur,Total_zero_valent_Sulfur_flags,Total_Prokaryote_Cell_Density,SD_Total_Prokaryotes,Total_Prokaryote_Biomass_Estimates,SD_Prokaryote_Biomass_Estimates,Cyanobacteria,SD_Cyanobacteria,Methanogens,SD_Methanogens,Flagellated_Protists,SD_Flagellated_Protists,Ciliated_Protists,SD_Ciliated_Protists,Viral_Like_Particles_VLP,SD_Viral_Like_Particles_VLP,Heterotrophic_Bacterial_Production,SD_Heterotrophic_Bacterial_Production,Dark_carbon_fixation_rate,SD_Dark_carbon_fixation_rate,dissolved_Mn,SD_dissolved_Mn,dissolved_Fe,SD_dissolved_Fe
0,1995,1995-11-14 02:30:00,1995-11-13 22:30:00,11,13,,b'1995-11-13',1995.8661,-64.66,10.5,1,3,CAR,1,CAR-1,93HG_1,cast 1: Begun at 2230; 13 Nov 1995; end. 0000,Locations for individual casts not recorded,340,338.0,,,,,,,15.8,b,1.0604999999999998,n.f.,4.85,,0.012,0.0012,0.0132,,,,,,,n.f.,,,n.f.,176636798.42570806,3964514.809110337,6.295672621788055,0.1413028744001319,153000.0,62000.0,407000.0,132000.0,355909.55195010896,54892.20397384375,,,,,0.0,0.0,,,,,,
1,1995,1995-11-14 02:30:00,1995-11-13 22:30:00,11,13,,b'1995-11-13',1995.8661,-64.66,10.5,1,3,CAR,1,CAR-1,93HG_1,cast 1: Begun at 2230; 13 Nov 1995; end. 0000,Locations for individual casts not recorded,350,347.0,,,,,,,15.5,b,1.361,n.f.,3.05,,,,,,,,,,,n.f.,,,n.f.,132337410.88402256,4757417.770932403,4.7167579007681955,0.1695634492801583,153000.0,117000.0,267000.0,63000.0,410664.8676347412,68444.14460579019,,,,,0.0,0.0,,,,,,
2,1995,1995-11-14 02:30:00,1995-11-13 22:30:00,11,13,,b'1995-11-13',1995.8661,-64.66,10.5,1,3,CAR,1,CAR-1,93HG_1,cast 1: Begun at 2230; 13 Nov 1995; end. 0000,Locations for individual casts not recorded,360,360.0,,,,,,,19.7,b,1.6715,n.f.,2.55,,0.01056,0.0019200000000000005,0.012480000000000002,,,,,,,n.f.,,,n.f.,170468529.27433413,12688690.396117214,6.075823736582758,0.4522491431295878,535000.0,102000.0,423000.0,61000.0,177954.77597505448,48595.34267011104,,,,,0.0,0.0,,,,,,
3,1995,1995-11-14 02:30:00,1995-11-13 22:30:00,11,13,,b'1995-11-13',1995.8661,-64.66,10.5,1,3,CAR,1,CAR-1,93HG_1,cast 1: Begun at 2230; 13 Nov 1995; end. 0000,Locations for individual casts not recorded,380,378.0,,,,,,,21.6,b,1.86,n.f.,3.4960000000000004,,0.006719999999999999,0.0004800000000000001,0.0072,,,,,,,n.f.,,,n.f.,131215907.40195456,7930151.121702743,4.676785376185412,0.2826457213248467,497000.0,162000.0,879000.0,166000.0,428460.34523224656,61599.73014521119,,,,,0.0,0.0,,,,,,
4,1995,1995-11-14 02:30:00,1995-11-13 22:30:00,11,13,,b'1995-11-13',1995.8661,-64.66,10.5,1,3,CAR,1,CAR-1,93HG_1,cast 1: Begun at 2230; 13 Nov 1995; end. 0000,Locations for individual casts not recorded,400,398.0,,,,,,,26.6,b,2.1695,n.f.,3.843,,0.00168,0.0004800000000000001,0.00216,,,,,,,n.f.,,,n.f.,104411974.18052964,12529436.90166356,3.72144203865694,0.4465730446388328,267000.0,82000.0,286000.0,154000.0,451731.3543982153,57493.08146886376,,,,,0.0,0.0,,,,,,
5,1995,1995-11-14 02:30:00,1995-11-13 22:30:00,11,13,,b'1995-11-13',1995.8661,-64.66,10.5,1,3,CAR,1,CAR-1,93HG_1,cast 1: Begun at 2230; 13 Nov 1995; end. 0000,Locations for individual casts not recorded,450,448.0,,,,,,,29.5,b,3.162,n.f.,2.2,,,,,,,,,,,n.f.,,,n.f.,126729893.47368264,,4.516895277854288,,38000.0,38000.0,843000.0,293000.0,457206.88596667844,111974.62057507275,,,,,0.0,0.0,,,,,,
6,1995,1995-11-14 02:30:00,1995-11-13 22:30:00,11,13,,b'1995-11-13',1995.8661,-64.66,10.5,1,3,CAR,1,CAR-1,93HG_1,cast 1: Begun at 2230; 13 Nov 1995; end. 0000,Locations for individual casts not recorded,500,498.0,,,,,,,40.5,b,4.0125,n.f.,0.7416666666666667,,0.00072,0.00072,0.00144,,,,,,,n.f.,,,n.f.,112262498.55500557,4599285.779960819,5.398289825485931,0.221162703040138,115000.0,58000.0,898000.0,160000.0,188905.83911198087,62421.059880480665,,,,,0.0,0.0,,,,,,
7,1995,1995-11-14 02:30:00,1995-11-13 22:30:00,11,13,,b'1995-11-13',1995.8661,-64.66,10.5,1,3,CAR,1,CAR-1,93HG_1,cast 1: Begun at 2230; 13 Nov 1995; end. 0000,Locations for individual casts not recorded,750,744.0,,,,,,,62.4,b,7.9975,n.f.,2.3,,0.0,0.00072,0.00072,,,,,,,n.f.,,,n.f.,99140907.81481013,5551442.236236539,4.767320884844722,0.2669483979635901,,,1430000.0,166000.0,188905.83911198087,47774.01293484155,,,,,0.0,0.0,,,,,,
8,1995,1995-11-14 02:30:00,1995-11-13 22:30:00,11,13,,b'1995-11-13',1995.8661,-64.66,10.5,1,3,CAR,1,CAR-1,93HG_1,cast 1: Begun at 2230; 13 Nov 1995; end. 0000,Locations for individual casts not recorded,1000,902.0,,,,,,,72.9,b,8.2165,n.f.,,,0.0,0.00024000000000000006,0.00024000000000000006,,,,,,,n.f.,,,n.f.,103851222.43949564,3171611.8472882686,4.993822555844129,0.15251112513960255,76000.0,76000.0,1590000.0,227000.0,146470.46945639106,40382.04531741622,,,,,0.012,0.017,,,,,,
9,1995,1995-11-14 02:30:00,1995-11-13 22:30:00,11,13,,b'1995-11-13',1995.8661,-64.66,10.5,1,3,CAR,1,CAR-1,93HG_1,cast 1: Begun at 2230; 13 Nov 1995; end. 0000,Locations for individual casts not recorded,1200,1190.0,,,,,,,76.2,b,11.9175,n.f.,4.35,,0.0,0.0,0.0,,,,,,,n.f.,,,n.f.,77495890.61089796,792902.9618220674,3.7264917776331465,0.03812778128490064,229000.0,62000.0,1240000.0,248000.0,135930.07118709933,46268.24175351418,,,,,0.0,0.0,,,,,,
