unlimited,Cruise_number,Cruise_ID_1,Cruise_ID_2,Leg,Day,Month,Year,Latitude,Longitude,Hydro_cast_no,Depth_target,Depth_real,O2_ml_L,q_O2_ml_L,O2_umol_kg,q_O2_umol_kg,NO3_UDO,q_NO3_UDO,PO4_UDO,q_PO4_UDO,SiO4_UDO,q_SiO4_UDO,NH4_USF,q_NH4_USF,NO2_USF,q_NO2_USF,NO3_NO2_USF,q_NO3_NO3_USF,PO4_USF,q_PO4_USF,SiO4_USF,q_SiO4_USF,pH,q_pH,Alkalinity_mol_kg,q_Alkalinity_mol_kg,Alkalinity_umol_kg,q_Alkalinity_umol_kg,TCO2,q_TCO2,fCO2,q_fCO2,pH_corrected,q_pH_corrected,TCO2_corrected,q_TCO2_corrected,fCO2_corrected,q_fCO2_corrected,Salinity_bottles,q_Salinity_bottles,Salinity_CTD,q_Salinity_CTD,Temperature,q_Temperature,Sigma_t,q_Sigma_t,TPP,q_TPP,PIP,q_PIP,POC_ug_kg,q_POC_ug_kg,PON_ug_kg,q_PON_ug_kg,POC_ug_L,q_POC_ug_L,PN_ug_L,q_PN_ug_L,C_N_particulate,q_C_N_particulate,DON,q_DON,DOP,q_DOP,DOC,q_DOC,TOC,q_TOC,PrimaryProductivity,q_PrimaryProductivity,Chlorophyll,q_Chlorophyll,Phaeopigments,q_Phaeopigments,Total_Prokaryotes,Bact_Biomass_mgC_m3,Bact_Biomass_uMC,Bio_cast_no,ISO_DateTime_start_hc_local,ISO_DateTime_end_hc_local,ISO_DateTime_start_bc_local,ISO_DateTime_end_bc_local,ISO_DateTime_start_hc_UTC,ISO_DateTime_end_hc_UTC,ISO_DateTime_start_bc_UTC,ISO_DateTime_end_bc_UTC
0,1,93HG_001,CAR-001,2,8,11,1995,10.5,-64.667,1.0,1.0,1.5,4.85,b'0',211.614,b'0',0.18,b'0',0.0,b'0',2.4,b'0',,b'0',,b'0',,b'0',,b'0',,b'0',,b'0',,b'0',,b'0',,b'0',,b'0',,b'0',,b'0',,b'0',36.576,b'0',,b'0',27.49,b'0',23.72,b'0',,b'0',,b'0',,b'0',,b'0',,b'0',,b'0',,b'0',,b'0',,b'0',134.8,b'0',,b'0',,b'0',0.0940762,b'0',0.09,b'0',,,,2.0,1995-11-08 06:12:00,1995-11-08 06:38:00,1995-11-08 03:36:00,1995-11-08 03:54:00,1995-11-08 10:12:00,1995-11-08 10:38:00,1995-11-08 07:36:00,1995-11-08 07:54:00
1,1,93HG_001,CAR-001,2,8,11,1995,10.5,-64.667,1.0,7.0,6.5,4.41,b'0',192.391,b'0',0.17,b'0',0.0,b'0',2.8,b'0',,b'0',,b'0',,b'0',,b'0',,b'0',,b'0',0.00240886,b'0',2408.86,b'0',,b'0',,b'0',,b'0',,b'0',,b'0',36.577,b'0',,b'0',27.5,b'0',23.72,b'0',,b'0',,b'0',,b'0',,b'0',,b'0',,b'0',,b'0',,b'0',,b'0',88.3,b'0',,b'0',,b'0',0.0746952,b'0',0.06,b'0',,,,2.0,1995-11-08 06:12:00,1995-11-08 06:38:00,1995-11-08 03:36:00,1995-11-08 03:54:00,1995-11-08 10:12:00,1995-11-08 10:38:00,1995-11-08 07:36:00,1995-11-08 07:54:00
2,1,93HG_001,CAR-001,2,8,11,1995,10.5,-64.667,1.0,15.0,15.0,4.38,b'0',191.075,b'0',0.16,b'0',0.0,b'0',2.2,b'0',,b'0',,b'0',,b'0',,b'0',,b'0',,b'0',0.00241135,b'0',2411.35,b'0',,b'0',,b'0',,b'0',,b'0',,b'0',36.59,b'0',,b'0',27.49,b'0',23.76,b'0',,b'0',,b'0',,b'0',,b'0',,b'0',,b'0',,b'0',,b'0',,b'0',80.7,b'0',,b'0',,b'0',0.100048,b'0',0.08,b'0',,,,2.0,1995-11-08 06:12:00,1995-11-08 06:38:00,1995-11-08 03:36:00,1995-11-08 03:54:00,1995-11-08 10:12:00,1995-11-08 10:38:00,1995-11-08 07:36:00,1995-11-08 07:54:00
3,1,93HG_001,CAR-001,2,8,11,1995,10.5,-64.667,1.0,25.0,25.0,4.37,b'0',190.565,b'0',0.17,b'0',0.0,b'0',,b'0',,b'0',,b'0',,b'0',,b'0',,b'0',,b'0',0.00241044,b'0',2410.44,b'0',,b'0',,b'0',,b'0',,b'0',,b'0',36.6118,b'0',,b'0',26.3,b'0',24.156,b'0',,b'0',,b'0',,b'0',,b'0',,b'0',,b'0',,b'0',,b'0',,b'0',78.3,b'0',,b'0',,b'0',0.11801400000000001,b'0',0.14,b'0',,,,2.0,1995-11-08 06:12:00,1995-11-08 06:38:00,1995-11-08 03:36:00,1995-11-08 03:54:00,1995-11-08 10:12:00,1995-11-08 10:38:00,1995-11-08 07:36:00,1995-11-08 07:54:00
4,1,93HG_001,CAR-001,2,8,11,1995,10.5,-64.667,1.0,35.0,35.0,4.27,b'0',186.13099999999997,b'0',0.85,b'0',0.01,b'0',1.9,b'0',,b'0',,b'0',,b'0',,b'0',,b'0',,b'0',0.00241587,b'0',2415.87,b'0',,b'0',,b'0',,b'0',,b'0',,b'0',36.744,b'0',,b'0',25.32,b'0',24.563000000000002,b'0',,b'0',,b'0',,b'0',,b'0',,b'0',,b'0',,b'0',,b'0',,b'0',78.2,b'0',,b'0',,b'0',0.131476,b'0',0.2,b'0',,,,2.0,1995-11-08 06:12:00,1995-11-08 06:38:00,1995-11-08 03:36:00,1995-11-08 03:54:00,1995-11-08 10:12:00,1995-11-08 10:38:00,1995-11-08 07:36:00,1995-11-08 07:54:00
5,1,93HG_001,CAR-001,2,8,11,1995,10.5,-64.667,1.0,55.0,54.5,3.95,b'0',172.142,b'0',0.63,b'0',0.06,b'0',1.7,b'0',,b'0',,b'0',,b'0',,b'0',,b'0',,b'0',,b'0',,b'0',,b'0',,b'0',,b'0',,b'0',,b'0',36.829,b'0',,b'0',24.75,b'0',24.8,b'0',,b'0',,b'0',,b'0',,b'0',,b'0',,b'0',,b'0',,b'0',,b'0',77.7,b'0',,b'0',,b'0',0.418,b'0',0.6,b'0',,,,2.0,1995-11-08 06:12:00,1995-11-08 06:38:00,1995-11-08 03:36:00,1995-11-08 03:54:00,1995-11-08 10:12:00,1995-11-08 10:38:00,1995-11-08 07:36:00,1995-11-08 07:54:00
6,1,93HG_001,CAR-001,2,8,11,1995,10.5,-64.667,1.0,75.0,74.0,3.87,b'0',168.639,b'0',1.08,b'0',0.08,b'0',2.2,b'0',,b'0',,b'0',,b'0',,b'0',,b'0',,b'0',0.002398,b'0',2398.0,b'0',,b'0',,b'0',,b'0',,b'0',,b'0',36.847,b'0',,b'0',24.48,b'0',24.9,b'0',,b'0',,b'0',,b'0',,b'0',,b'0',,b'0',,b'0',,b'0',,b'0',73.0,b'0',,b'0',,b'0',0.16301,b'0',0.31,b'0',,,,2.0,1995-11-08 06:12:00,1995-11-08 06:38:00,1995-11-08 03:36:00,1995-11-08 03:54:00,1995-11-08 10:12:00,1995-11-08 10:38:00,1995-11-08 07:36:00,1995-11-08 07:54:00
7,1,93HG_001,CAR-001,2,8,11,1995,10.5,-64.667,1.0,100.0,97.0,3.63,b'0',158.175,b'0',2.52,b'0',0.2,b'0',2.4,b'0',,b'0',,b'0',,b'0',,b'0',,b'0',,b'0',0.002403,b'0',2403.0,b'0',,b'0',,b'0',,b'0',,b'0',,b'0',36.898,b'0',,b'0',23.97,b'0',24.936999999999998,b'0',,b'0',,b'0',,b'0',,b'0',,b'0',,b'0',,b'0',,b'0',,b'0',74.0,b'0',,b'0',,b'0',0.0680952,b'0',0.16,b'0',,,,2.0,1995-11-08 06:12:00,1995-11-08 06:38:00,1995-11-08 03:36:00,1995-11-08 03:54:00,1995-11-08 10:12:00,1995-11-08 10:38:00,1995-11-08 07:36:00,1995-11-08 07:54:00
8,1,93HG_001,CAR-001,2,8,11,1995,10.5,-64.667,3.0,150.0,151.5,1.81,b'0',78.7749,b'0',10.69,b'0',0.96,b'0',10.7,b'0',,b'0',,b'0',,b'0',,b'0',,b'0',,b'0',0.00236287,b'0',2362.87,b'0',,b'0',,b'0',,b'0',,b'0',,b'0',36.58,b'0',,b'0',19.27,b'0',26.17,b'0',,b'0',,b'0',,b'0',,b'0',,b'0',,b'0',,b'0',,b'0',,b'0',71.1,b'0',,b'0',,b'0',,b'0',,b'0',,,,,1995-11-08 09:19:00,1995-11-08 10:35:00,,,1995-11-08 13:19:00,1995-11-08 14:35:00,,
9,1,93HG_001,CAR-001,2,8,11,1995,10.5,-64.667,3.0,200.0,200.0,0.45,b'0',19.582,b'0',10.57,b'0',1.5,b'0',22.1,b'0',,b'0',,b'0',,b'0',,b'0',,b'0',,b'0',0.00237,b'0',2370.0,b'0',,b'0',,b'0',,b'0',,b'0',,b'0',36.4483,b'0',,b'0',18.23,b'0',26.325,b'0',,b'0',,b'0',,b'0',,b'0',,b'0',,b'0',,b'0',,b'0',,b'0',99.7,b'0',,b'0',,b'0',,b'0',,b'0',,,,,1995-11-08 09:19:00,1995-11-08 10:35:00,,,1995-11-08 13:19:00,1995-11-08 14:35:00,,
