/* DATA DESCRIPTION:
Citation:	Mouw, Colleen B; Ciochetto, Audrey B; Yoder, James A (2018): Microplankton fraction (Sfm) estimated form satellite output (OC-CCI), links to netCDF files. PANGAEA, https://doi.pangaea.de/10.1594/PANGAEA.892211 (DOI registration in progress)
Abstract:	We provide satellite output that estimates phytoplankton size class as percent microplankton (Sfm, > 20 μm). The calculation of Sfm requires satellite spectral remote sensing reflectance (Rrs(λ)), chlorophyll concentration ([Chl]), and absorption due to dissolved and detrital matter (adg(λ)). These are taken from 4km, monthly, Ocean Color Climate Change Initiative (OC-CCI, version 3.0, www.esa-oceancolour-cci.org) products which are globally merged Sea-Viewing Wide Field-of-View Sensor (SeaWiFS), Medium Resolution Imaging Spectrometer (MERIS), Moderate Resolution Imaging Spectroradiometer (MODIS-Aqua), and Visible Infrared Imaging Radiometer Suite (VIIRS) imagery for a continuous record from 1997 through 2015. This is an absorption-based approach from Mouw and Yoder (2010) (doi:10.1029/2010JC006337) where the chlorophyll-specific absorption spectra for phytoplankton size class extremes, pico- (0.2-2 μm) and microplankton (> 20 μm), are weighted by Sfm. Sfm is estimated from a look-up table containing simulated [Chl], adg(443), Rrs(λ), and Sfm. For a given pixel, satellite-estimated [Chl] and adg(443), are used to narrow the search space within the look-up table. Of the remaining options, the closest simulated Rrs(λ) to the satellite-observed Rrs(λ) is selected and the associated Sfm is assigned.
Related to:	Mouw, Colleen B; Ciochetto, Audrey B; Yoder, James A (2019): A Satellite Assessment of Environmental Controls of Phytoplankton Community Size Structure. Global Biogeochemical Cycles, 33(5), 540-558, https://doi.org/10.1029/2018GB006118
Coverage:	DATE/TIME START: 1997-09-01T00:00:00 * DATE/TIME END: 2015-12-31T00:00:00
Parameter(s):	DATE/TIME (Date/Time) * GEOCODE * PI: Mouw, Colleen B (https://orcid.org/0000-0003-2516-1882, cbmouw@mtu.edu)
	File name (File name) * PI: Mouw, Colleen B (https://orcid.org/0000-0003-2516-1882, cbmouw@mtu.edu)
	File format (File format) * PI: Mouw, Colleen B (https://orcid.org/0000-0003-2516-1882, cbmouw@mtu.edu)
	File size [kByte] (File size) * PI: Mouw, Colleen B (https://orcid.org/0000-0003-2516-1882, cbmouw@mtu.edu) * COMMENT: zipped file
	Uniform resource locator/link to file (URL file) * PI: Mouw, Colleen B (https://orcid.org/0000-0003-2516-1882, cbmouw@mtu.edu)
License:	Creative Commons Attribution 3.0 Unported (CC-BY-3.0)
Size:	880 data points
*/
Date/Time	File name	File format	File size [kByte]	URL file
1997-09	Sfm_199709_MO_4km	netCDF	10784.918	http://hs.pangaea.de/sat/OC-CCI/Sfm_199709_MO_4km.zip
1997-10	Sfm_199710_MO_4km	netCDF	12308.474	http://hs.pangaea.de/sat/OC-CCI/Sfm_199710_MO_4km.zip
1997-11	Sfm_199711_MO_4km	netCDF	13254.109	http://hs.pangaea.de/sat/OC-CCI/Sfm_199711_MO_4km.zip
1997-12	Sfm_199712_MO_4km	netCDF	13764.733	http://hs.pangaea.de/sat/OC-CCI/Sfm_199712_MO_4km.zip
1998-01	Sfm_199801_MO_4km	netCDF	13853.575	http://hs.pangaea.de/sat/OC-CCI/Sfm_199801_MO_4km.zip
1998-02	Sfm_199802_MO_4km	netCDF	13949.626	http://hs.pangaea.de/sat/OC-CCI/Sfm_199802_MO_4km.zip
1998-03	Sfm_199803_MO_4km	netCDF	13699.165	http://hs.pangaea.de/sat/OC-CCI/Sfm_199803_MO_4km.zip
1998-04	Sfm_199804_MO_4km	netCDF	13203.307	http://hs.pangaea.de/sat/OC-CCI/Sfm_199804_MO_4km.zip
1998-05	Sfm_199805_MO_4km	netCDF	12004.445	http://hs.pangaea.de/sat/OC-CCI/Sfm_199805_MO_4km.zip
1998-06	Sfm_199806_MO_4km	netCDF	11633.453	http://hs.pangaea.de/sat/OC-CCI/Sfm_199806_MO_4km.zip
1998-07	Sfm_199807_MO_4km	netCDF	12172.287	http://hs.pangaea.de/sat/OC-CCI/Sfm_199807_MO_4km.zip
1998-08	Sfm_199808_MO_4km	netCDF	12810.080	http://hs.pangaea.de/sat/OC-CCI/Sfm_199808_MO_4km.zip
1998-09	Sfm_199809_MO_4km	netCDF	12840.198	http://hs.pangaea.de/sat/OC-CCI/Sfm_199809_MO_4km.zip
1998-10	Sfm_199810_MO_4km	netCDF	12702.963	http://hs.pangaea.de/sat/OC-CCI/Sfm_199810_MO_4km.zip
1998-11	Sfm_199811_MO_4km	netCDF	12614.070	http://hs.pangaea.de/sat/OC-CCI/Sfm_199811_MO_4km.zip
1998-12	Sfm_199812_MO_4km	netCDF	13197.327	http://hs.pangaea.de/sat/OC-CCI/Sfm_199812_MO_4km.zip
1999-01	Sfm_199901_MO_4km	netCDF	13987.657	http://hs.pangaea.de/sat/OC-CCI/Sfm_199901_MO_4km.zip
1999-02	Sfm_199902_MO_4km	netCDF	13941.427	http://hs.pangaea.de/sat/OC-CCI/Sfm_199902_MO_4km.zip
1999-03	Sfm_199903_MO_4km	netCDF	13895.272	http://hs.pangaea.de/sat/OC-CCI/Sfm_199903_MO_4km.zip
1999-04	Sfm_199904_MO_4km	netCDF	13134.354	http://hs.pangaea.de/sat/OC-CCI/Sfm_199904_MO_4km.zip
1999-05	Sfm_199905_MO_4km	netCDF	12003.194	http://hs.pangaea.de/sat/OC-CCI/Sfm_199905_MO_4km.zip
1999-06	Sfm_199906_MO_4km	netCDF	11593.280	http://hs.pangaea.de/sat/OC-CCI/Sfm_199906_MO_4km.zip
1999-07	Sfm_199907_MO_4km	netCDF	12299.424	http://hs.pangaea.de/sat/OC-CCI/Sfm_199907_MO_4km.zip
1999-08	Sfm_199908_MO_4km	netCDF	13435.938	http://hs.pangaea.de/sat/OC-CCI/Sfm_199908_MO_4km.zip
1999-09	Sfm_199909_MO_4km	netCDF	13723.620	http://hs.pangaea.de/sat/OC-CCI/Sfm_199909_MO_4km.zip
1999-10	Sfm_199910_MO_4km	netCDF	13782.369	http://hs.pangaea.de/sat/OC-CCI/Sfm_199910_MO_4km.zip
1999-11	Sfm_199911_MO_4km	netCDF	13440.376	http://hs.pangaea.de/sat/OC-CCI/Sfm_199911_MO_4km.zip
1999-12	Sfm_199912_MO_4km	netCDF	13708.007	http://hs.pangaea.de/sat/OC-CCI/Sfm_199912_MO_4km.zip
2000-01	Sfm_200001_MO_4km	netCDF	14447.974	http://hs.pangaea.de/sat/OC-CCI/Sfm_200001_MO_4km.zip
2000-02	Sfm_200002_MO_4km	netCDF	14630.261	http://hs.pangaea.de/sat/OC-CCI/Sfm_200002_MO_4km.zip
2000-03	Sfm_200003_MO_4km	netCDF	14041.559	http://hs.pangaea.de/sat/OC-CCI/Sfm_200003_MO_4km.zip
2000-04	Sfm_200004_MO_4km	netCDF	13228.706	http://hs.pangaea.de/sat/OC-CCI/Sfm_200004_MO_4km.zip
2000-05	Sfm_200005_MO_4km	netCDF	12181.731	http://hs.pangaea.de/sat/OC-CCI/Sfm_200005_MO_4km.zip
2000-06	Sfm_200006_MO_4km	netCDF	11905.847	http://hs.pangaea.de/sat/OC-CCI/Sfm_200006_MO_4km.zip
2000-07	Sfm_200007_MO_4km	netCDF	12621.846	http://hs.pangaea.de/sat/OC-CCI/Sfm_200007_MO_4km.zip
2000-08	Sfm_200008_MO_4km	netCDF	13763.807	http://hs.pangaea.de/sat/OC-CCI/Sfm_200008_MO_4km.zip
2000-09	Sfm_200009_MO_4km	netCDF	13628.525	http://hs.pangaea.de/sat/OC-CCI/Sfm_200009_MO_4km.zip
2000-10	Sfm_200010_MO_4km	netCDF	13858.325	http://hs.pangaea.de/sat/OC-CCI/Sfm_200010_MO_4km.zip
2000-11	Sfm_200011_MO_4km	netCDF	13653.659	http://hs.pangaea.de/sat/OC-CCI/Sfm_200011_MO_4km.zip
2000-12	Sfm_200012_MO_4km	netCDF	14049.317	http://hs.pangaea.de/sat/OC-CCI/Sfm_200012_MO_4km.zip
2001-01	Sfm_200101_MO_4km	netCDF	14413.694	http://hs.pangaea.de/sat/OC-CCI/Sfm_200101_MO_4km.zip
2001-02	Sfm_200102_MO_4km	netCDF	14271.868	http://hs.pangaea.de/sat/OC-CCI/Sfm_200102_MO_4km.zip
2001-03	Sfm_200103_MO_4km	netCDF	14465.750	http://hs.pangaea.de/sat/OC-CCI/Sfm_200103_MO_4km.zip
2001-04	Sfm_200104_MO_4km	netCDF	12969.799	http://hs.pangaea.de/sat/OC-CCI/Sfm_200104_MO_4km.zip
2001-05	Sfm_200105_MO_4km	netCDF	12353.401	http://hs.pangaea.de/sat/OC-CCI/Sfm_200105_MO_4km.zip
2001-06	Sfm_200106_MO_4km	netCDF	11844.593	http://hs.pangaea.de/sat/OC-CCI/Sfm_200106_MO_4km.zip
2001-07	Sfm_200107_MO_4km	netCDF	12476.187	http://hs.pangaea.de/sat/OC-CCI/Sfm_200107_MO_4km.zip
2001-08	Sfm_200108_MO_4km	netCDF	13515.699	http://hs.pangaea.de/sat/OC-CCI/Sfm_200108_MO_4km.zip
2001-09	Sfm_200109_MO_4km	netCDF	14013.224	http://hs.pangaea.de/sat/OC-CCI/Sfm_200109_MO_4km.zip
2001-10	Sfm_200110_MO_4km	netCDF	13752.884	http://hs.pangaea.de/sat/OC-CCI/Sfm_200110_MO_4km.zip
2001-11	Sfm_200111_MO_4km	netCDF	13766.500	http://hs.pangaea.de/sat/OC-CCI/Sfm_200111_MO_4km.zip
2001-12	Sfm_200112_MO_4km	netCDF	13903.238	http://hs.pangaea.de/sat/OC-CCI/Sfm_200112_MO_4km.zip
2002-01	Sfm_200201_MO_4km	netCDF	14415.351	http://hs.pangaea.de/sat/OC-CCI/Sfm_200201_MO_4km.zip
2002-02	Sfm_200202_MO_4km	netCDF	14530.512	http://hs.pangaea.de/sat/OC-CCI/Sfm_200202_MO_4km.zip
2002-03	Sfm_200203_MO_4km	netCDF	14085.322	http://hs.pangaea.de/sat/OC-CCI/Sfm_200203_MO_4km.zip
2002-04	Sfm_200204_MO_4km	netCDF	13071.728	http://hs.pangaea.de/sat/OC-CCI/Sfm_200204_MO_4km.zip
2002-05	Sfm_200205_MO_4km	netCDF	12285.460	http://hs.pangaea.de/sat/OC-CCI/Sfm_200205_MO_4km.zip
2002-06	Sfm_200206_MO_4km	netCDF	12055.547	http://hs.pangaea.de/sat/OC-CCI/Sfm_200206_MO_4km.zip
2002-07	Sfm_200207_MO_4km	netCDF	12502.838	http://hs.pangaea.de/sat/OC-CCI/Sfm_200207_MO_4km.zip
2002-08	Sfm_200208_MO_4km	netCDF	13640.393	http://hs.pangaea.de/sat/OC-CCI/Sfm_200208_MO_4km.zip
2002-09	Sfm_200209_MO_4km	netCDF	14246.511	http://hs.pangaea.de/sat/OC-CCI/Sfm_200209_MO_4km.zip
2002-10	Sfm_200210_MO_4km	netCDF	14003.488	http://hs.pangaea.de/sat/OC-CCI/Sfm_200210_MO_4km.zip
2002-11	Sfm_200211_MO_4km	netCDF	14197.454	http://hs.pangaea.de/sat/OC-CCI/Sfm_200211_MO_4km.zip
2002-12	Sfm_200212_MO_4km	netCDF	14641.321	http://hs.pangaea.de/sat/OC-CCI/Sfm_200212_MO_4km.zip
2003-01	Sfm_200301_MO_4km	netCDF	15112.473	http://hs.pangaea.de/sat/OC-CCI/Sfm_200301_MO_4km.zip
2003-02	Sfm_200302_MO_4km	netCDF	15482.590	http://hs.pangaea.de/sat/OC-CCI/Sfm_200302_MO_4km.zip
2003-03	Sfm_200303_MO_4km	netCDF	15357.410	http://hs.pangaea.de/sat/OC-CCI/Sfm_200303_MO_4km.zip
2003-04	Sfm_200304_MO_4km	netCDF	14096.889	http://hs.pangaea.de/sat/OC-CCI/Sfm_200304_MO_4km.zip
2003-05	Sfm_200305_MO_4km	netCDF	13190.811	http://hs.pangaea.de/sat/OC-CCI/Sfm_200305_MO_4km.zip
2003-06	Sfm_200306_MO_4km	netCDF	12730.508	http://hs.pangaea.de/sat/OC-CCI/Sfm_200306_MO_4km.zip
2003-07	Sfm_200307_MO_4km	netCDF	12700.251	http://hs.pangaea.de/sat/OC-CCI/Sfm_200307_MO_4km.zip
2003-08	Sfm_200308_MO_4km	netCDF	14055.577	http://hs.pangaea.de/sat/OC-CCI/Sfm_200308_MO_4km.zip
2003-09	Sfm_200309_MO_4km	netCDF	14355.234	http://hs.pangaea.de/sat/OC-CCI/Sfm_200309_MO_4km.zip
2003-10	Sfm_200310_MO_4km	netCDF	14114.988	http://hs.pangaea.de/sat/OC-CCI/Sfm_200310_MO_4km.zip
2003-11	Sfm_200311_MO_4km	netCDF	14166.439	http://hs.pangaea.de/sat/OC-CCI/Sfm_200311_MO_4km.zip
2003-12	Sfm_200312_MO_4km	netCDF	14369.041	http://hs.pangaea.de/sat/OC-CCI/Sfm_200312_MO_4km.zip
2004-01	Sfm_200401_MO_4km	netCDF	14679.141	http://hs.pangaea.de/sat/OC-CCI/Sfm_200401_MO_4km.zip
2004-02	Sfm_200402_MO_4km	netCDF	15018.174	http://hs.pangaea.de/sat/OC-CCI/Sfm_200402_MO_4km.zip
2004-03	Sfm_200403_MO_4km	netCDF	15148.496	http://hs.pangaea.de/sat/OC-CCI/Sfm_200403_MO_4km.zip
2004-04	Sfm_200404_MO_4km	netCDF	13893.842	http://hs.pangaea.de/sat/OC-CCI/Sfm_200404_MO_4km.zip
2004-05	Sfm_200405_MO_4km	netCDF	12179.517	http://hs.pangaea.de/sat/OC-CCI/Sfm_200405_MO_4km.zip
2004-06	Sfm_200406_MO_4km	netCDF	11827.628	http://hs.pangaea.de/sat/OC-CCI/Sfm_200406_MO_4km.zip
2004-07	Sfm_200407_MO_4km	netCDF	12642.315	http://hs.pangaea.de/sat/OC-CCI/Sfm_200407_MO_4km.zip
2004-08	Sfm_200408_MO_4km	netCDF	13806.569	http://hs.pangaea.de/sat/OC-CCI/Sfm_200408_MO_4km.zip
2004-09	Sfm_200409_MO_4km	netCDF	14243.605	http://hs.pangaea.de/sat/OC-CCI/Sfm_200409_MO_4km.zip
2004-10	Sfm_200410_MO_4km	netCDF	14039.229	http://hs.pangaea.de/sat/OC-CCI/Sfm_200410_MO_4km.zip
2004-11	Sfm_200411_MO_4km	netCDF	14154.560	http://hs.pangaea.de/sat/OC-CCI/Sfm_200411_MO_4km.zip
2004-12	Sfm_200412_MO_4km	netCDF	14447.529	http://hs.pangaea.de/sat/OC-CCI/Sfm_200412_MO_4km.zip
2005-01	Sfm_200501_MO_4km	netCDF	14776.545	http://hs.pangaea.de/sat/OC-CCI/Sfm_200501_MO_4km.zip
2005-02	Sfm_200502_MO_4km	netCDF	15226.736	http://hs.pangaea.de/sat/OC-CCI/Sfm_200502_MO_4km.zip
2005-03	Sfm_200503_MO_4km	netCDF	15020.085	http://hs.pangaea.de/sat/OC-CCI/Sfm_200503_MO_4km.zip
2005-04	Sfm_200504_MO_4km	netCDF	13775.971	http://hs.pangaea.de/sat/OC-CCI/Sfm_200504_MO_4km.zip
2005-05	Sfm_200505_MO_4km	netCDF	12175.553	http://hs.pangaea.de/sat/OC-CCI/Sfm_200505_MO_4km.zip
2005-06	Sfm_200506_MO_4km	netCDF	11683.395	http://hs.pangaea.de/sat/OC-CCI/Sfm_200506_MO_4km.zip
