studyName,"Datetime GMT","Latitude (º)","Longitude (º)",Cycle,Event,Cast,"Depth (m)",Bottle,"Assoc Bottle 1","Assoc Bottle 2","Assoc Bottle 3","Total Chl (µg/L)","Chl - 1µm (µg/L)","Chl - 3µm (µg/L)","Chl - 8µm (µg/L)","Chl - 20µm (µg/L)","Chl < 1.0µm (%)","Chl 1.0µm - 3.0µm (%)","Chl 3.0µm - 8.0µm (%)","Chl 8.0µm - 20.0µm (%)","Chl > 20.0µm (%)"
P0605KN,"2006-05-11 09:43:53",34.3333,-120.8,"Cycle 1",53,5,4.807,19,20,21,,2.27,2.13,1.84,1.82,1.24,5.8,13.0,0.9,25.5,54.8
P0605KN,"2006-05-12 09:07:12",34.28856,-120.8365,"Cycle 1",82,8,6.576,19,20,21,,5.08,4.83,4.05,3.41,2.68,4.9,15.4,12.6,14.3,52.8
P0605KN,"2006-05-13 09:40:05",34.27569,-120.9464,"Cycle 1",127,12,5.728,19,20,21,,5.16,4.61,4.03,3.99,2.99,10.7,11.1,0.9,19.3,58.0
P0605KN,"2006-05-14 09:04:28",34.27037,-121.0357,"Cycle 1",178,16,6.056,19,20,21,,5.41,5.36,4.63,4.28,3.24,0.8,13.5,6.6,19.2,59.9
P0605KN,"2006-05-15 09:07:19",34.25954,-121.0568,"Cycle 1",219,19,6.036,21,22,,,4.71,4.54,4.43,3.85,3.49,3.8,2.2,12.5,7.5,74.1
P0605KN,"2006-05-16 09:07:03",33.68134,-122.1983,"Cycle 2",236,20,6.087,22,23,24,,0.11,0.07,0.04,0.02,0.01,39.2,24.5,14.2,10.8,11.3
P0605KN,"2006-05-17 09:04:24",33.49601,-122.1127,"Cycle 2",275,23,5.855,22,23,24,,0.11,0.07,0.03,0.02,0.01,35.2,33.5,14.3,10.6,6.3
P0605KN,"2006-05-19 08:05:01",33.61792,-122.1298,"Cycle 2",336,27,6.057,23,22,24,,0.09,0.05,0.02,0.01,0.00,50.4,27.8,11.7,8.2,1.9
P0605KN,"2006-05-20 08:26:23",33.49394,-122.0862,"Cycle 2",370,31,5.988,22,23,24,,0.11,0.05,0.02,0.01,0.00,56.2,25.4,13.1,2.5,2.9
P0605KN,"2006-05-21 09:09:53",33.3634,-122.0386,"Cycle 2",404,34,5.638,21,22,23,,0.09,0.04,0.02,0.01,0.00,55.2,25.3,9.3,6.8,3.4
