"row","col","value","sim","simcol"
1,1,0,1,"#0000FF"
2,1,2403,0.157224697644812,"#FB6747"
3,1,4168,0.161312371838688,"#FB6849"
4,1,7597,0.204705409209733,"#F87759"
5,1,10709,0.152600495332444,"#FB6546"
6,1,16434,0.121677495569994,"#FC593A"
7,1,15616,0.136008260805428,"#FC5F3F"
8,1,11923,0.185163887291547,"#F97152"
9,1,5252,0.168301989642954,"#FA6B4C"
1,2,2403,0.157224697644812,"#FB6747"
2,2,0,1,"#0000FF"
3,2,2831,0.206981393203137,"#F8785A"
4,2,6265,0.252758274824473,"#F4866B"
5,2,9358,0.228300307005303,"#F67F62"
6,2,15210,0.117556730933288,"#FD5838"
7,2,15748,0.213207985143918,"#F77A5C"
8,2,13740,0.235993913404344,"#F68165"
9,2,7074,0.263527836661832,"#F38A6F"
1,3,4168,0.161312371838688,"#FB6849"
2,3,2831,0.206981393203137,"#F8785A"
3,3,0,1,"#0000FF"
4,3,3520,0.239713099282748,"#F58266"
5,3,6638,0.1957776975821,"#F97456"
6,3,16437,0.128158844765343,"#FC5C3C"
7,3,17126,0.167559943582511,"#FA6B4B"
8,3,15936,0.226860254083485,"#F67E61"
9,3,9269,0.182628925940287,"#F97051"
1,4,7597,0.204705409209733,"#F87759"
2,4,6265,0.252758274824473,"#F4866B"
3,4,3520,0.239713099282748,"#F58266"
4,4,0,1,"#0000FF"
5,4,3123,0.251830892143808,"#F4866B"
6,4,17975,0.124413145539906,"#FC5B3B"
7,4,18688,0.205414640557235,"#F87759"
8,4,18002,0.285738283218545,"#F19078"
9,4,12758,0.24107253181762,"#F58367"
1,5,10709,0.152600495332444,"#FB6546"
2,5,9358,0.228300307005303,"#F67F62"
3,5,6638,0.1957776975821,"#F97456"
4,5,3123,0.251830892143808,"#F4866B"
5,5,0,1,"#0000FF"
6,5,19771,0.110231298187122,"#FD5536"
7,5,20484,0.156332205937618,"#FB6747"
8,5,19855,0.203276131045242,"#F87759"
9,5,15865,0.212554008641383,"#F87A5C"
1,6,16434,0.121677495569994,"#FC593A"
2,6,15210,0.117556730933288,"#FD5838"
3,6,16437,0.128158844765343,"#FC5C3C"
4,6,17975,0.124413145539906,"#FC5B3B"
5,6,19771,0.110231298187122,"#FD5536"
6,6,0,1,"#0000FF"
7,6,1203,0.156996021220159,"#FB6747"
8,6,4844,0.129939995861784,"#FC5D3D"
9,6,11289,0.114565587734242,"#FD5737"
1,7,15616,0.136008260805428,"#FC5F3F"
2,7,15748,0.213207985143918,"#F77A5C"
3,7,17126,0.167559943582511,"#FA6B4B"
4,7,18688,0.205414640557235,"#F87759"
5,7,20484,0.156332205937618,"#FB6747"
6,7,1203,0.156996021220159,"#FB6747"
7,7,0,1,"#0000FF"
8,7,3947,0.223412594721714,"#F77D60"
9,7,10471,0.239219820769636,"#F58266"
1,8,11923,0.185163887291547,"#F97152"
2,8,13740,0.235993913404344,"#F68165"
3,8,15936,0.226860254083485,"#F67E61"
4,8,18002,0.285738283218545,"#F19078"
5,8,19855,0.203276131045242,"#F87759"
6,8,4844,0.129939995861784,"#FC5D3D"
7,8,3947,0.223412594721714,"#F77D60"
8,8,0,1,"#0000FF"
9,8,6778,0.240426563257392,"#F58267"
1,9,5252,0.168301989642954,"#FA6B4C"
2,9,7074,0.263527836661832,"#F38A6F"
3,9,9269,0.182628925940287,"#F97051"
4,9,12758,0.24107253181762,"#F58367"
5,9,15865,0.212554008641383,"#F87A5C"
6,9,11289,0.114565587734242,"#FD5737"
7,9,10471,0.239219820769636,"#F58266"
8,9,6778,0.240426563257392,"#F58267"
9,9,0,1,"#0000FF"
