Cruise;Month;date;Temp1-7m;Sigma-t 1-7m;PriPro 1-7m;Chl 1-7m;Depth of 25.8 isopycnal (21degC);Depth of 25.6 isopycnal (22degC);DateMLD-I;MLD-I;Date;MLD-II
1;11;1995,833;27,495;23,720;;0,084;130;118;;;11.1.1995;24,138
2;12;1995,938172;25,395;24,590;1,385;0,135;114;094;;;12.1.1995;18,103
3;1;1996,034946;24,250;25,023;14,024;1,385;102;062;Jan.96;6;1.1.1996;10,057
4;2;1996,115591;23,815;25,149;9,785;0,822;094;066;Feb.96;6,034;2.1.1996;8,046
5;3;1996,201613;22,747;25,423;15,386;3,005;048;024;Mar.96;7,04;3.1.1996;10,057
6;4;1996,284946;22,747;25,419;4,900;3,405;048;026;Apr.96;4,023;4.1.1996;7,04
7;5;1996,376344;23,015;25,315;53,936;6,122;030;008;May.96;4,023;5.1.1996;8,046
8;6;1996,44086;25,085;24,765;3,616;0,325;081;039;Jun.96;2,012;6.1.1996;4,023
9;7;1996,532258;27,130;24,060;1,996;0,203;108;093;Jul.96;3,017;7.1.1996;4,023
10;8;1996,610215;25,655;24,573;1,578;0,151;086;048;Aug.96;2,011;8.1.1996;4,023
11;9;1996,682796;28,998;23,131;1,943;0,174;125;089;Sep.96;7,04;9.1.1996;9,01
12;10;1996,776882;27,274;23,810;2,139;0,195;108;098;Oct.96;5,031;10.1.1996;6,008
13;11;1996,857527;26,015;24,281;2,217;0,285;102;073;Nov.96;2,029;11.1.1996;3,002
14;12;1996,943548;26,471;24,128;1,177;0,200;114;092;Dec.96;9,011;12.1.1996;26,093
15;1;1997,02957;24,151;24,994;32,942;5,320;063;056;Jan.97;7,034;1.1.1997;11,11
16;2;1997,102151;23,860;25,191;8,092;1,101;046;034;Feb.97;7,016;2.1.1997;11,022
17;3;1997,201613;21,994;25,552;8,819;1,915;018;005;Mar.97;4,047;3.1.1997;6,086
18;4;1997,284946;23,112;25,318;13,435;2,955;031;021;Apr.97;6,064;4.1.1997;7,935
19;5;1997,373656;24,118;24,966;10,681;1,620;056;025;May.97;4,987;5.1.1997;6,986
20;6;1997,443548;25,216;25,005;1,941;0,285;112;071;Jun.97;10,94;6.1.1997;13,204
21;7;1997,545699;24,465;25,005;3,565;0,370;083;041;Jul.97;2,056;7.1.1997;7,039
22;8;1997,604839;24,167;24,975;2,243;0,200;048;016;Aug.97;1,112;8.1.1997;1,112
23;9;1997,712366;28,232;23,486;0,765;0,105;113;083;Sep.97;3,071;9.1.1997;3,996
24;10;1997,795699;28,594;23,297;0,799;0,114;123;111;Oct.97;2,05;10.1.1997;3,007
25;11;1997,870968;26,564;24,093;0,515;0,171;068;057;Nov.97;7,122;11.1.1997;15,064
26;12;1997,951613;25,015;24,717;5,672;0,826;045;027;Dec.97;4,025;12.1.1997;5,12
27;1;1998,045699;24,725;24,815;6,790;0,654;090;047;Jan.98;3,018;1.1.1998;7,12
28;2;1998,120968;25,858;24,546;1,911;0,381;090;046;Feb.98;20,085;2.1.1998;22,123
29;3;1998,196237;22,333;25,516;25,948;6,132;040;006;Mar.98;4,993;3.1.1998;4,993
30;4;1998,282258;26,510;24,334;1,110;0,295;087;054;Apr.98;3,011;4.1.1998;9,037
31;6;1998,389785;26,466;24,299;1,496;0,195;115;098;Jun.98;4,064;6.1.1998;5,034
32;7;1998,524194;24,796;24,813;1,566;0,265;072;027;Jul.98;12,075;7.1.1998;14,107
33;8;1998,607527;28,402;23,523;1,028;0,176;109;076;Aug.98;3,005;8.1.1998;4,002
34;9;1998,680108;28,304;23,410;1,200;0,145;117;094;Sep.98;2,161;9.1.1998;3,043
35;10;1998,752688;27,082;23,974;1,673;0,160;110;101;Oct.98;3,038;10.1.1998;4,122
36;11;1998,870968;27,269;23,857;1,630;0,135;122;113;Nov.98;4,969;11.1.1998;8,111
37;12;1998,943548;27,025;24,037;1,270;0,156;109;103;Dec.98;7,03;12.1.1998;23,124
38;1;1999,043011;24,551;24,938;9,225;1,366;075;049;Jan.99;1,119;1.1.1999;1,119
39;2;1999,115591;22,392;25,511;22,100;3,365;060;029;Feb.99;7,06;2.1.1999;24,123
40;3;1999,193548;24,621;24,883;3,725;0,509;054;028;Mar.99;3,011;3.1.1999;9,088
41;4;1999,260753;25,759;24,561;0,528;0,157;078;046;Apr.99;18,145;4.1.1999;19,197
42;5;1999,352151;25,890;24,479;2,350;0,189;103;078;May.99;3;5.1.1999;4,055
43;6;1999,432796;26,009;24,423;1,655;0,127;080;061;Jun.99;2,168;6.1.1999;2,168
44;7;1999,521505;26,368;24,288;4,835;0,323;092;062;Jul.99;3,988;7.1.1999;6,076
45;8;1999,623656;27,339;23,875;1,515;0,161;105;074;Aug.99;9,043;8.1.1999;12,035
46;9;1999,696237;29,200;23,073;0,670;0,098;120;115;Sep.99;4,006;9.1.1999;12,039
47;10;1999,787634;28,342;23,344;0,520;0,060;122;112;Oct.99;13,106;10.1.1999;17,103
48;11;1999,846774;28,432;23,266;1,160;0,163;114;107;Nov.99;13,137;11.1.1999;18,064
49;12;1999,927419;28,565;23,015;0,773;0,123;126;113;Dec.99;17,079;12.1.1999;35,159
50;1;2000,018817;25,051;24,696;13,307;1,001;081;051;Jan.00;6,138;1.1.2000;9,06
51;2;2000,112903;23,556;25,158;6,535;1,098;043;035;Feb.00;7,005;2.1.2000;11,034
52;3;2000,188172;24,663;24,853;1,435;0,194;046;026;Mar.00;4,062;3.1.2000;6,024
53;4;2000,274194;24,443;24,985;5,637;0,800;053;041;Apr.00;8,056;4.1.2000;24,121
54;5;2000,362903;23,722;25,127;3,630;0,395;028;012;May.00;8,033;5.1.2000;11,13
55;6;2000,446237;25,139;24,781;1,121;0,120;092;049;Jun.00;3,038;6.1.2000;3,998
56;7;2000,516129;23,345;25,269;10,443;1,055;048;010;Jul.00;1,083;7.1.2000;2,01
