"","Date","val","spec"
"1",1995-12-14,13.54,"Tchla"
"2",1996-01-13,44.21,"Tchla"
"3",1996-02-14,28.77,"Tchla"
"4",1996-03-13,21.26,"Tchla"
"5",1996-04-17,171.92,"Tchla"
"6",1996-05-10,44.24,"Tchla"
"7",1996-06-13,27.77,"Tchla"
"8",1996-07-11,23.39,"Tchla"
"9",1996-08-07,22.42,"Tchla"
"10",1996-09-11,32.23,"Tchla"
"11",1996-10-09,31.46,"Tchla"
"12",1996-11-11,43.29,"Tchla"
"13",1996-12-10,19.31,"Tchla"
"14",1997-01-08,102.33,"Tchla"
"15",1997-02-14,25.77,"Tchla"
"16",1997-02-23,40.53,"Tchla"
"17",1997-03-13,51.59,"Tchla"
"18",1997-04-16,62.59,"Tchla"
"19",1997-05-10,27.28,"Tchla"
"20",1997-06-17,21.57,"Tchla"
"21",1997-07-08,12.58,"Tchla"
"22",1997-07-16,28.78,"Tchla"
"23",1997-08-17,24.93,"Tchla"
"24",1997-09-17,16.09,"Tchla"
"25",1997-10-14,18.2,"Tchla"
"26",1997-11-13,17.29,"Tchla"
"27",1997-12-17,30.47,"Tchla"
"28",1998-01-14,30.63,"Tchla"
"29",1998-02-11,23.2,"Tchla"
"30",1998-03-12,76.93,"Tchla"
"31",1998-04-21,26.95,"Tchla"
"32",1998-06-09,48.64,"Tchla"
"33",1998-07-09,30,"Tchla"
"34",1998-08-05,33.98,"Tchla"
"35",1998-09-01,16.46,"Tchla"
"36",1998-12-16,39.84,"Tchla"
"37",1999-01-12,81.64,"Tchla"
"38",1999-03-04,1.49,"Tchla"
"39",1999-04-07,18.2,"Tchla"
"40",1999-07-15,29.81,"Tchla"
"41",1999-08-11,28.87,"Tchla"
"42",1999-09-14,23.39,"Tchla"
"43",1999-10-05,13.55,"Tchla"
"44",1999-11-04,7.84,"Tchla"
"45",1999-12-07,8.67,"Tchla"
"46",2000-01-11,29.77,"Tchla"
"47",2000-02-08,33.12,"Tchla"
"48",2000-03-09,10.05,"Tchla"
"49",2000-04-11,23.86,"Tchla"
"50",2000-05-11,30.1,"Tchla"
"51",2000-06-06,14.84,"Tchla"
"52",2000-07-07,7.11,"Tchla"
"53",2000-08-09,15.63,"Tchla"
"54",2000-09-12,28.55,"Tchla"
"55",2000-10-10,15.19,"Tchla"
"56",2006-07-04,13.94,"Tchla"
"57",2006-08-03,23.96,"Tchla"
"58",2006-09-12,25.05,"Tchla"
"59",2006-10-10,48.05,"Tchla"
"60",2006-11-02,21.5,"Tchla"
"61",2006-12-05,30.24,"Tchla"
"62",2007-02-06,102.46,"Tchla"
"63",2007-03-06,31.32,"Tchla"
"64",2007-04-10,32.21,"Tchla"
"65",2007-05-08,30.94,"Tchla"
"66",2007-06-05,20.14,"Tchla"
"67",2007-07-03,30.49,"Tchla"
"68",2007-08-07,27.78,"Tchla"
"69",2007-09-04,22.45,"Tchla"
"70",2007-10-19,41.8,"Tchla"
"71",2007-12-11,32.43,"Tchla"
"72",2008-01-10,23.65,"Tchla"
"73",2008-02-12,39.81,"Tchla"
"74",2008-03-11,55.07,"Tchla"
"75",2008-04-08,29.43,"Tchla"
"76",2008-05-04,26.95,"Tchla"
"77",2008-06-03,31.12,"Tchla"
"78",2008-07-08,34.71,"Tchla"
"79",2008-08-05,52.46,"Tchla"
"80",2008-09-10,20.97,"Tchla"
"81",2008-10-10,26.83,"Tchla"
"82",2008-11-18,26.32,"Tchla"
"83",2008-12-10,18.5,"Tchla"
"84",2009-01-13,59.93,"Tchla"
"85",2009-02-10,48.58,"Tchla"
"86",2009-03-03,31.05,"Tchla"
"87",2009-04-07,27.68,"Tchla"
"88",2009-05-08,33.33,"Tchla"
"89",2009-06-02,31.8,"Tchla"
"90",2009-07-14,18.61,"Tchla"
"91",2009-08-11,37.91,"Tchla"
"92",2009-09-15,34.39,"Tchla"
"93",2009-10-07,29.29,"Tchla"
"94",2009-11-10,14.86,"Tchla"
"95",2009-12-08,19.44,"Tchla"
"96",2010-01-07,29.28,"Tchla"
"97",2010-02-11,106.87,"Tchla"
"98",2010-03-09,28.22,"Tchla"
"99",2010-04-07,23.11,"Tchla"
"100",2010-05-11,32.02,"Tchla"
"101",2010-06-08,17.24,"Tchla"
"102",2010-08-04,16.73,"Tchla"
"103",2010-09-15,40.22,"Tchla"
"104",2010-10-05,22.74,"Tchla"
"105",2010-11-09,15.32,"Tchla"
"106",2010-12-08,25.14,"Tchla"
"107",2011-01-11,102.94,"Tchla"
"108",2011-02-08,66.23,"Tchla"
"109",2011-03-15,20.29,"Tchla"
"110",2011-04-12,12.73,"Tchla"
"111",2011-05-10,49.69,"Tchla"
