Date,depth,Prasinophytes,Dinoflagellates,Cryptophytes,Haptophytes2,Chlorophytes,Cyanobacteria,Diatoms_Hapto1,Hapto3_Hapto4,2Date,2depth,2Prasinophytes,2Dinoflagellates,2Cryptophytes,2Haptophytes2,2Chlorophytes,2Cyanobacteria,2Diatoms_Hapto1,2Hapto3_Hapto4
12/14/95,1.00,10.26,12.24,0.62,0.00,0.00,5.04,68.62,10.23,07/04/06,1.00,7.16,18.09,0.60,14.70,0.00,39.93,145.82,23.70
12/14/95,7.00,14.64,14.96,7.27,0.00,0.00,10.12,79.13,12.87,07/04/06,7.00,9.19,16.50,0.54,13.85,0.00,40.65,163.57,22.39
12/14/95,15.00,17.94,25.12,7.76,0.00,0.00,10.35,86.97,14.85,07/04/06,15.00,7.91,19.29,0.58,12.34,0.00,35.42,148.73,19.54
12/14/95,25.00,67.15,17.88,35.99,0.00,0.00,24.61,162.44,99.91,07/04/06,25.00,10.45,20.09,9.04,7.04,2.46,52.76,67.08,27.78
12/14/95,35.00,48.31,20.39,12.09,0.00,0.00,12.42,98.61,49.18,07/04/06,35.00,31.77,20.39,8.19,6.65,0.00,28.78,71.60,29.82
12/14/95,55.00,24.19,0.00,0.00,0.00,0.00,5.33,45.06,13.41,07/04/06,55.00,11.45,0.21,0.55,6.19,0.00,1.75,26.59,25.65
12/14/95,75.00,15.15,4.81,0.00,0.00,0.00,4.44,10.13,16.47,07/04/06,75.00,44.05,0.31,1.15,7.65,0.00,4.54,20.59,25.32
12/14/95,100.00,2.39,0.00,0.00,0.00,0.00,1.15,7.28,3.18,07/04/06,100.00,11.43,0.22,0.59,2.94,0.00,1.25,8.63,8.54
01/13/96,1.00,9.15,113.84,22.41,94.86,0.00,8.58,815.44,80.71,08/03/06,1.00,5.62,5.72,1.65,0.29,2.60,113.64,61.75,8.82
01/13/96,7.00,8.33,226.49,24.87,65.64,0.00,8.18,629.23,34.27,08/03/06,7.00,6.43,0.42,1.78,0.42,2.06,132.37,70.70,12.12
01/13/96,15.00,5.76,174.00,9.27,56.61,0.00,8.04,567.94,16.37,08/03/06,15.00,7.57,44.46,34.30,6.48,17.71,280.76,121.12,50.90
01/13/96,25.00,11.83,153.64,48.90,96.76,58.96,12.23,1202.42,114.26,08/03/06,25.00,26.73,25.08,51.16,77.77,0.00,2.20,100.34,207.82
