"","date","X0.1","yday"
"1",1997-11-01,59,305
"2",1997-12-01,59,335
"3",1998-01-01,46.5,1
"4",1998-02-01,NA,32
"5",1998-03-01,25.5,60
"6",1998-04-01,74,91
"7",1998-06-01,71,152
"8",1998-07-01,60,182
"9",1998-08-01,71.5,213
"10",1998-09-01,74,244
"11",1998-10-01,80,274
"12",1998-11-01,90,305
"13",1998-12-01,91.5,335
"14",1999-01-01,57,1
"15",1999-03-04,69,63
"16",1999-04-07,50,97
"17",1999-05-06,67.6,126
"18",1999-06-07,50,158
"19",1999-07-15,NA,196
"20",1999-08-11,49,223
"21",1999-09-14,NA,257
"22",1999-10-05,NA,278
"23",1999-11-04,NA,308
"24",1999-12-07,NA,341
"25",2000-01-11,53,11
"26",2000-02-08,69,39
"27",2000-03-09,70,69
"28",2000-04-10,46,101
"29",2000-05-11,49,132
"30",2000-06-06,NA,158
"31",2000-07-07,25,189
"32",2000-08-09,84.8,222
"33",2000-09-12,NA,256
"34",2000-10-10,64,284
"35",2001-01-11,36,11
"36",2001-02-16,39.4,47
"37",2001-03-14,31.4,73
"38",2001-04-05,NA,95
"39",2001-05-05,NA,125
"40",2001-06-12,90,163
"41",2001-07-10,47,191
"42",2001-08-07,NA,219
"43",2001-09-12,87,255
"44",2001-10-09,72.4,282
"45",2001-11-06,72,310
"46",2001-12-11,NA,345
"47",2002-02-14,42.6,45
"48",2002-03-12,34,71
"49",2002-04-02,NA,92
"50",2002-05-07,92,127
"51",2002-06-12,79.1,163
"52",2002-07-09,86.1,190
"53",2002-12-05,58.6,339
"54",2003-01-14,46.7,14
"55",2003-02-11,32.2,42
"56",2003-03-11,42.7,70
"57",2003-04-08,82,98
"58",2003-05-13,62,133
"59",2003-06-11,56,162
"60",2003-09-10,73.4,253
"61",NA,NA,NA
"62",2006-01-12,71.2,12
"63",2006-02-06,54.7,37
"64",2006-03-16,57.7,75
"65",2006-04-04,68.3,94
"66",2006-06-06,79.7,157
"67",2006-07-04,NA,185
"68",2006-08-28,71.1,240
"69",2006-09-12,73,255
"70",2006-10-10,70,283
"71",2006-11-02,64.7,306
"72",2006-12-05,78,339
"73",2007-02-06,44.3,37
"74",2007-03-06,64,65
"75",2007-04-10,NA,100
"76",2007-05-08,80,128
"77",2007-06-05,84,156
"78",2007-07-03,85,184
"79",2007-08-07,NA,219
"80",2007-09-04,NA,247
"81",2007-10-09,NA,282
"82",2007-12-11,NA,345
"83",2008-01-10,NA,10
"84",2008-02-12,NA,43
"85",2008-03-11,NA,71
"86",2008-04-08,NA,99
"87",2008-05-06,80,127
"88",2008-06-04,62.633,156
"89",2008-07-08,64.116,190
"90",2008-08-05,NA,218
"91",2008-09-10,NA,254
"92",2008-10-10,NA,284
"93",2008-11-08,NA,313
"94",2008-12-10,NA,345
"95",2009-01-13,NA,13
"96",2009-02-10,NA,41
"97",2009-03-03,NA,62
"98",2009-04-07,NA,97
"99",2009-05-08,88.9,128
"100",2009-06-02,81.519,153
"101",2009-07-14,80.539,195
"102",2009-08-11,71.9,223
"103",2009-09-15,70.8,258
"104",2009-10-06,89.3,279
"105",2009-11-10,84.5,314
"106",2009-12-08,95.92,342
"107",2010-01-12,85,12
"108",2010-02-11,40.9,42
"109",2010-03-09,91,68
"110",2010-04-07,88.3,97
"111",2010-05-11,NA,131
"112",2010-06-08,NA,159
"113",2010-08-04,NA,216
"114",2010-09-15,87,258
"115",2010-10-04,NA,277
"116",2010-11-09,80.3,313
"117",2010-12-08,NA,342
"118",2011-01-11,NA,11
"119",2011-02-08,NA,39
"120",2011-03-15,NA,74
"121",2011-04-12,82.9584,102
"122",2011-05-10,72.01025,130
"123",2011-06-09,80.6,160
"124",2011-07-07,NA,188
"125",2011-08-09,86,221
"126",2011-09-06,93,249
"127",2011-10-04,NA,277
"128",2011-11-18,81,322
"129",2012-01-10,NA,10
"130",2012-02-07,NA,38
"131",2012-03-16,23.1,76
"132",NA,NA,NA
