"","Date","val","X0.55m","X55.100m","spec"
"1",1995-12-14,13.54,11.34,2.2,"Tchla"
"2",1996-01-13,44.21,41.94,2.27,"Tchla"
"3",1996-02-14,28.77,25.44,3.33,"Tchla"
"4",1996-03-13,21.26,20.21,1.05,"Tchla"
"5",1996-04-17,171.92,167.78,4.14,"Tchla"
"6",1996-05-10,44.24,42.38,1.86,"Tchla"
"7",1996-06-13,27.77,24.38,3.39,"Tchla"
"8",1996-07-11,23.39,16.67,6.72,"Tchla"
"9",1996-08-07,22.42,14.36,8.06,"Tchla"
"10",1996-09-11,32.23,18.4,13.83,"Tchla"
"11",1996-10-09,31.46,25.9,5.56,"Tchla"
"12",1996-11-11,43.29,39.45,3.84,"Tchla"
"13",1996-12-10,19.31,15.71,3.6,"Tchla"
"14",1997-01-08,102.33,100.15,2.18,"Tchla"
"15",1997-02-14,25.77,23.74,2.03,"Tchla"
"16",1997-02-23,40.53,37.36,3.17,"Tchla"
"17",1997-03-13,51.59,48.23,3.36,"Tchla"
"18",1997-04-16,62.59,58.29,4.3,"Tchla"
"19",1997-05-10,27.28,24.44,2.84,"Tchla"
"20",1997-06-17,21.57,15.23,6.34,"Tchla"
"21",1997-07-08,12.58,11.12,1.46,"Tchla"
"22",1997-07-16,28.78,25,3.78,"Tchla"
"23",1997-08-17,24.93,20.65,4.28,"Tchla"
"24",1997-09-17,16.09,10.61,5.48,"Tchla"
"25",1997-10-14,18.2,12.26,5.94,"Tchla"
"26",1997-11-13,17.29,16.22,1.07,"Tchla"
"27",1997-12-17,30.47,21.91,8.56,"Tchla"
"28",1998-01-14,30.63,25.41,5.22,"Tchla"
"29",1998-02-11,23.2,16.28,6.92,"Tchla"
"30",1998-03-12,76.93,75.52,1.41,"Tchla"
"31",1998-04-21,26.95,20.42,6.53,"Tchla"
"32",1998-06-09,48.64,32.3,16.34,"Tchla"
"33",1998-07-09,30,20.1,9.9,"Tchla"
"34",1998-08-05,33.98,15.34,18.64,"Tchla"
"35",1998-09-01,16.46,12.63,3.83,"Tchla"
"36",1998-12-16,39.84,34.13,5.71,"Tchla"
"37",1999-01-12,81.64,79.05,2.59,"Tchla"
"38",1999-03-04,1.49,1.06,0.43,"Tchla"
"39",1999-04-07,18.2,11.76,6.44,"Tchla"
"40",1999-07-15,29.81,23.77,6.04,"Tchla"
"41",1999-08-11,28.87,17.3,11.57,"Tchla"
"42",1999-09-14,23.39,11.47,11.92,"Tchla"
"43",1999-10-05,13.55,5.63,7.92,"Tchla"
"44",1999-11-04,7.84,4.76,3.08,"Tchla"
"45",1999-12-07,8.67,5.49,3.18,"Tchla"
"46",2000-01-11,29.77,27.84,1.93,"Tchla"
"47",2000-02-08,33.12,31.14,1.98,"Tchla"
"48",2000-03-09,10.05,8.79,1.26,"Tchla"
"49",2000-04-11,23.86,22.29,1.57,"Tchla"
"50",2000-05-11,30.1,25.47,4.63,"Tchla"
"51",2000-06-06,14.84,9.85,4.99,"Tchla"
"52",2000-07-07,7.11,5.44,1.67,"Tchla"
"53",2000-08-09,15.63,8.93,6.7,"Tchla"
"54",2000-09-12,28.55,15.76,12.79,"Tchla"
"55",2000-10-10,15.19,10.07,5.12,"Tchla"
"56",2006-07-04,13.94,10.46,3.48,"Tchla"
"57",2006-08-03,23.96,20.5,3.46,"Tchla"
"58",2006-09-12,25.05,14.45,10.6,"Tchla"
"59",2006-10-10,48.05,34.18,13.87,"Tchla"
"60",2006-11-02,21.5,11.93,9.57,"Tchla"
"61",2006-12-05,30.24,20.16,10.08,"Tchla"
"62",2007-02-06,102.46,98.17,4.29,"Tchla"
"63",2007-03-06,31.32,29.55,1.77,"Tchla"
"64",2007-04-10,32.21,26.66,5.55,"Tchla"
"65",2007-05-08,30.94,24.73,6.21,"Tchla"
"66",2007-06-05,20.14,11.49,8.65,"Tchla"
"67",2007-07-03,30.49,26.8,3.69,"Tchla"
"68",2007-08-07,27.78,15.02,12.76,"Tchla"
"69",2007-09-04,22.45,14.14,8.31,"Tchla"
"70",2007-10-19,41.8,20.47,21.33,"Tchla"
"71",2007-12-11,32.43,20.03,12.4,"Tchla"
"72",2008-01-10,23.65,20.39,3.26,"Tchla"
"73",2008-02-12,39.81,36.83,2.98,"Tchla"
"74",2008-03-11,55.07,49.21,5.86,"Tchla"
"75",2008-04-08,29.43,24.03,5.4,"Tchla"
"76",2008-05-04,26.95,16.12,10.83,"Tchla"
"77",2008-06-03,31.12,13.55,17.57,"Tchla"
"78",2008-07-08,34.71,28.63,6.08,"Tchla"
"79",2008-08-05,52.46,27.58,24.88,"Tchla"
"80",2008-09-10,20.97,12.64,8.33,"Tchla"
"81",2008-10-10,26.83,12.34,14.49,"Tchla"
"82",2008-11-18,26.32,15.52,10.8,"Tchla"
"83",2008-12-10,18.5,12.52,5.98,"Tchla"
"84",2009-01-13,59.93,55.3,4.63,"Tchla"
"85",2009-02-10,48.58,34.38,14.2,"Tchla"
"86",2009-03-03,31.05,28.4,2.65,"Tchla"
"87",2009-04-07,27.68,21.61,6.07,"Tchla"
"88",2009-05-08,33.33,29.9,3.43,"Tchla"
"89",2009-06-02,31.8,27.38,4.42,"Tchla"
"90",2009-07-14,18.61,13.58,5.03,"Tchla"
"91",2009-08-11,37.91,32.14,5.77,"Tchla"
"92",2009-09-15,34.39,22.32,12.07,"Tchla"
"93",2009-10-07,29.29,23.24,6.05,"Tchla"
"94",2009-11-10,14.86,9.01,5.85,"Tchla"
"95",2009-12-08,19.44,16.18,3.26,"Tchla"
"96",2010-01-07,29.28,24.06,5.22,"Tchla"
"97",2010-02-11,106.87,105.23,1.64,"Tchla"
"98",2010-03-09,28.22,20.28,7.94,"Tchla"
"99",2010-04-07,23.11,18.23,4.88,"Tchla"
"100",2010-05-11,32.02,25.39,6.63,"Tchla"
"101",2010-06-08,17.24,11.43,5.81,"Tchla"
"102",2010-08-04,16.73,13.21,3.52,"Tchla"
"103",2010-09-15,40.22,16.71,23.51,"Tchla"
"104",2010-10-05,22.74,14.7,8.04,"Tchla"
"105",2010-11-09,15.32,11.07,4.25,"Tchla"
"106",2010-12-08,25.14,23.12,2.02,"Tchla"
"107",2011-01-11,102.94,100.31,2.63,"Tchla"
"108",2011-02-08,66.23,65.68,0.55,"Tchla"
"109",2011-03-15,20.29,16.96,3.33,"Tchla"
"110",2011-04-12,12.73,9.76,2.97,"Tchla"
"111",2011-05-10,49.69,41.15,8.54,"Tchla"
"112",2011-06-09,23.86,12.08,11.78,"Tchla"
"113",2011-07-07,28.01,14.91,13.1,"Tchla"
"114",2011-08-09,28.58,14.2,14.38,"Tchla"
"115",2011-09-06,25.88,19.33,6.55,"Tchla"
"116",2011-10-04,22.39,14.15,8.24,"Tchla"
"117",2011-11-18,23.84,11.46,12.38,"Tchla"
"118",2012-01-10,87.08,83.96,3.12,"Tchla"
"119",2012-02-07,30.18,24.87,5.31,"Tchla"
"120",2012-03-16,243.2,239.53,3.67,"Tchla"
"121",2012-04-10,34.84,25.13,9.71,"Tchla"
"122",2012-05-15,25.59,15.75,9.84,"Tchla"
"123",2012-07-26,17.72,15.45,2.27,"Tchla"
"124",2012-08-14,27.41,20.79,6.62,"Tchla"
"125",2012-09-11,31.58,19.92,11.66,"Tchla"
"126",2012-10-10,30.89,22.13,8.76,"Tchla"
"127",2012-11-08,20.16,9.16,11,"Tchla"
"128",2012-12-04,23.78,16.67,7.11,"Tchla"
"129",2013-03-05,33.34,28.32,5.02,"Tchla"
