"","date","Mesh_Size","key","value"
"1",2001-10-09,200,"TOTAL_DENSITY",1112.64
"2",2001-10-09,500,"TOTAL_DENSITY",212.942
"3",2001-11-06,500,"TOTAL_DENSITY",13.4266
"4",2001-11-06,200,"TOTAL_DENSITY",282.303
"5",2001-12-11,200,"TOTAL_DENSITY",572.647
"6",2001-12-11,500,"TOTAL_DENSITY",8.78655
"7",2002-01-10,200,"TOTAL_DENSITY",499.383
"8",2002-01-10,500,"TOTAL_DENSITY",104.94
"9",2002-02-14,200,"TOTAL_DENSITY",612.358
"10",2002-02-14,500,"TOTAL_DENSITY",9.96920996838687e+36
"11",2002-03-12,500,"TOTAL_DENSITY",29.04
"12",2002-03-12,200,"TOTAL_DENSITY",379.342
"13",2002-04-02,500,"TOTAL_DENSITY",6.62
"14",2002-04-02,200,"TOTAL_DENSITY",571.588
"15",2002-05-07,500,"TOTAL_DENSITY",96.24
"16",2002-05-07,200,"TOTAL_DENSITY",246.677
"17",2002-06-12,200,"TOTAL_DENSITY",312.87
"18",2002-06-12,500,"TOTAL_DENSITY",16.16
"19",2002-07-09,200,"TOTAL_DENSITY",97.2282
"20",2002-07-09,500,"TOTAL_DENSITY",60
"21",2002-08-06,200,"TOTAL_DENSITY",1074.94
"22",2002-08-06,500,"TOTAL_DENSITY",142.88
"23",2002-10-03,500,"TOTAL_DENSITY",184.48
"24",2002-10-03,200,"TOTAL_DENSITY",2268.95
"25",2002-11-07,200,"TOTAL_DENSITY",779.043
"26",2002-11-07,500,"TOTAL_DENSITY",47.19
"27",2002-12-05,500,"TOTAL_DENSITY",41.34
"28",2002-12-05,200,"TOTAL_DENSITY",615.333
"29",2003-01-14,200,"TOTAL_DENSITY",740.251
"30",2003-01-14,500,"TOTAL_DENSITY",132.06
"31",2003-02-11,200,"TOTAL_DENSITY",167.658
"32",2003-02-11,500,"TOTAL_DENSITY",56.66
"33",2003-03-11,500,"TOTAL_DENSITY",79.28
"34",2003-03-11,200,"TOTAL_DENSITY",1109.89
"35",2003-04-08,200,"TOTAL_DENSITY",214.95
"36",2003-04-08,500,"TOTAL_DENSITY",106.81
"37",2003-05-13,200,"TOTAL_DENSITY",306.762
"38",2003-05-13,500,"TOTAL_DENSITY",88.03
"39",2003-06-10,500,"TOTAL_DENSITY",85.78
"40",2003-06-10,200,"TOTAL_DENSITY",363.483
"41",2003-07-08,200,"TOTAL_DENSITY",541.466
"42",2003-07-08,500,"TOTAL_DENSITY",64.99
"43",2003-09-09,500,"TOTAL_DENSITY",56.92
"44",2003-09-09,200,"TOTAL_DENSITY",452.666
"45",2003-11-11,500,"TOTAL_DENSITY",61.72
"46",2003-11-11,200,"TOTAL_DENSITY",354.087
"47",2003-12-09,200,"TOTAL_DENSITY",579.088
"48",2003-12-09,500,"TOTAL_DENSITY",67.85
"49",2004-01-13,500,"TOTAL_DENSITY",74.1
"50",2004-01-13,200,"TOTAL_DENSITY",574.131
"51",2004-02-08,200,"TOTAL_DENSITY",277.289
"52",2004-02-08,500,"TOTAL_DENSITY",35.01
"53",2004-03-08,500,"TOTAL_DENSITY",47.67
"54",2004-03-08,200,"TOTAL_DENSITY",626.583
"55",2004-04-06,500,"TOTAL_DENSITY",77.1
"56",2004-04-06,200,"TOTAL_DENSITY",434.476
"57",2004-05-13,200,"TOTAL_DENSITY",14.9676
"58",2004-05-13,500,"TOTAL_DENSITY",44.68
"59",2004-06-08,200,"TOTAL_DENSITY",394.891
"60",2004-06-08,500,"TOTAL_DENSITY",74.82
"61",2004-07-07,500,"TOTAL_DENSITY",41
"62",2004-07-07,200,"TOTAL_DENSITY",115.939
"63",2004-08-10,500,"TOTAL_DENSITY",55.2
"64",2004-08-10,200,"TOTAL_DENSITY",433.322
"65",2004-09-07,500,"TOTAL_DENSITY",74.2
