"","date","BIOMASS_200","BIOMASS_500","TOTAL_DENSITY_200","TOTAL_DENSITY_500","ASH_200","ASH_500","yday","month"
"1",2001-10-09,26.8331,15.9475,1112.64,212.942,6.84278,3.30931,282,10
"2",2001-11-06,7.42849,2.33661,282.303,13.4266,0.639314,0.0724179,310,11
"3",2001-12-11,5.59624,0.714084,572.647,8.78655,0.142299,0.182402,345,12
"4",2002-01-10,10.24,4.93,499.383,104.94,0.51,0.18,10,1
"5",2002-02-14,12.92,9.96920996838687e+36,612.358,9.96920996838687e+36,2.56,9.96920996838687e+36,45,2
"6",2002-03-12,10.55,5.47,379.342,29.04,1.78,0.77,71,3
"7",2002-04-02,8.71,8.31,571.588,6.62,1.82,2.15,92,4
"8",2002-05-07,4.5,1.31,246.677,96.24,0.43,0.09,127,5
"9",2002-06-12,10.63,4.54,312.87,16.16,1.07,0.35,163,6
"10",2002-07-09,1.4,0.88,97.2282,60,0.45,0.13,190,7
"11",2002-08-06,1.79,1.28,1074.94,142.88,0.36,0.31,218,8
"12",2002-10-03,12.35,1.5,2268.95,184.48,5.69,0.36,276,10
"13",2002-11-07,4.76,3.33,779.043,47.19,1.09,1.06,311,11
"14",2002-12-05,5.52,1.9,615.333,41.34,1.57,0.51,339,12
"15",2003-01-14,11.99,4.74,740.251,132.06,2.62,1.11,14,1
"16",2003-02-11,11.8,8.74,167.658,56.66,4.43,3.2,42,2
"17",2003-03-11,21.85,11.38,1109.89,79.28,4.85,4.24,70,3
"18",2003-04-08,11.97,8.42,214.95,106.81,3.18,2.3,98,4
"19",2003-05-13,11.26,6.03,306.762,88.03,2.09,0.98,133,5
"20",2003-06-10,13.57,8.8,363.483,85.78,4.19,3,161,6
"21",2003-07-08,7.5,5.25,541.466,64.99,1.73,1.98,189,7
"22",2003-09-09,8.57,4.82,452.666,56.92,1.93,1.84,252,9
"23",2003-11-11,4.33,3.07,354.087,61.72,1.71,0.83,315,11
"24",2003-12-09,9.08,3.91,579.088,67.85,2.78,2.14,343,12
"25",2004-01-13,10.66,2.83,574.131,74.1,2.57,0.6,13,1
"26",2004-02-08,5.6,3.31,277.289,35.01,1.26,1.14,39,2
"27",2004-03-08,6.17,4.76,626.583,47.67,1.78,2.13,68,3
"28",2004-04-06,18.31,10.59,434.476,77.1,5.07,4.36,97,4
"29",2004-05-13,11.47,5.11,14.9676,44.68,4.07,2.82,134,5
"30",2004-06-08,14.01,10.72,394.891,74.82,3.86,4.29,160,6
"31",2004-07-07,18.15,7.91,115.939,41,5.62,2.33,189,7
"32",2004-08-10,15.8,8.86,433.322,55.2,3.88,2.95,223,8
"33",2004-09-07,11.44,3.24,1083.37,74.2,2.44,1.05,251,9
"34",2004-10-05,5.4,2.81,198.552,27,1.07,1.11,279,10
"35",2004-11-09,3.41,2.99,190.683,17,1.42,2.43,314,11
"36",2004-12-07,5.8,1.95,325.825,25,1.98,0.47,342,12
"37",2005-01-11,5.99,2.96,167.93,31.18,1.73,1.1,11,1
"38",2005-02-10,9.76,7.09,97.622,42.36,2.2,1.64,41,2
"39",2005-03-08,13.71,5.97,374.617,50.8,2.93,2.03,67,3
"40",2005-04-05,10.88,7.48,270.599,66.18,2.48,3.01,95,4
"41",2005-05-10,9.89,6.4,220.22,65.16,2.42,2.02,130,5
"42",2005-06-14,6.15,6.04,563.809,61.7,1.56,2.53,165,6
"43",2005-07-12,8.19,3.07,290.976,50.18,1.9,1.66,193,7
"44",2005-08-10,5.62,2.03,505.31,71.7,0.86,0.47,222,8
"45",2005-12-15,10.68,4.46,489.355,62.34,9.96920996838687e+36,9.96920996838687e+36,349,12
"46",2006-01-12,17.54,7.5,496.938,66.37,7.09,2.57,12,1
"47",2006-02-07,19.3,10.45,383.514,55.05,5.51,4.87,38,2
"48",2006-03-16,12.22,12.62,549.235,75.25,3.47,5.38,75,3
"49",2006-04-04,17.66,7.23,609.863,91.4,4.52,2.14,94,4
"50",2006-05-10,14,7.97,217.43,28.15,7.3,0.4,130,5
"51",2006-06-06,10,2.53,215.814,28,9.96920996838687e+36,9.96920996838687e+36,157,6
