"","date","x258depth","yday"
"1",1995-11-08,130,312
"2",1995-12-14,44,348
"3",1996-01-13,92,13
"4",1996-02-14,88,45
"5",1996-03-13,38,73
"6",1996-04-16,39,107
"7",1996-05-09,14,130
"8",1996-06-12,53,164
"9",1996-07-10,105,192
"10",1996-08-06,64,219
"11",1996-09-11,105,255
"12",1996-10-08,107,282
"13",1996-11-10,97,315
"14",1996-12-09,113,344
"15",1997-01-07,62,7
"16",1997-02-13,36,44
"17",1997-03-12,18,71
"18",1997-04-15,29,105
"19",1997-05-10,43,130
"20",1997-06-17,102,168
"21",1997-07-08,66,189
"22",1997-08-17,36,229
"23",1997-09-17,111,260
"24",1997-10-14,123,287
"25",1997-11-13,70,317
"26",1997-12-17,42,351
"27",1998-01-14,71,14
"28",1998-02-11,61,42
"29",1998-03-12,35,71
"30",1998-04-21,64,111
"31",1998-06-09,110,160
"32",1998-07-09,69,190
"33",1998-08-05,102,217
"34",1998-09-01,108,244
"35",1998-10-14,104,287
"36",1998-11-10,120,314
"37",1998-12-16,110,350
"38",1999-01-12,67,12
"39",1999-02-10,57,41
"40",1999-03-04,40,63
"41",1999-04-07,63,97
"42",1999-05-06,103,126
"43",1999-06-08,71,159
"44",1999-07-15,84,196
"45",1999-08-11,97,223
"46",1999-09-14,118,257
"47",1999-10-05,122,278
"48",1999-11-04,113,308
"49",1999-12-07,124,341
"50",2000-01-11,81,11
"51",2000-02-08,42,39
"52",2000-03-09,38,69
"53",2000-04-10,49,101
"54",2000-05-11,22,132
"55",2000-06-06,90,158
"56",2000-07-07,23,189
"57",2000-08-09,97,222
"58",2000-09-12,102,256
"59",2000-10-10,115,284
"60",2000-11-03,107,308
"61",2000-12-05,81,340
"62",2001-01-11,60,11
"63",2001-02-16,37,47
"64",2001-03-14,25,73
"65",2001-04-04,45,94
"66",2001-05-05,65,125
"67",2001-06-10,61,161
"68",2001-07-10,50,191
"69",2001-08-07,96,219
"70",2001-09-11,110,254
"71",2001-10-09,111,282
"72",2001-11-06,120,310
"73",2001-12-11,113,345
"74",2002-01-10,115,10
"75",2002-02-14,67,45
"76",2002-03-12,28,71
"77",2002-04-02,32,92
"78",2002-05-07,100,127
"79",2002-06-12,105,163
"80",2002-07-09,19,190
"81",2002-08-06,74,218
