"","MLD","month","yday"
"1",16,"07",184
"2",9,"08",214
"3",11,"09",254
"4",15,"10",282
"5",19,"11",305
"6",26,"12",338
"7",21,"02",36
"8",10,"03",64
"9",18,"04",99
"10",20,"05",127
"11",19,"06",155
"12",12,"07",183
"13",19,"08",218
"14",16,"09",246
"15",11,"10",281
"16",11,"11",333
"17",15,"12",344
"18",16,"01",9
"19",28,"02",42
"20",26,"03",70
"21",24,"04",98
"22",20,"05",124
"23",22,"06",155
"24",11,"07",189
"25",16,"08",217
"26",15,"09",253
"27",13,"10",283
"28",19,"11",322
"29",26,"12",344
"30",33,"01",12
"31",26,"02",40
"32",15,"03",61
"33",19,"04",96
"34",20,"05",127
"35",18,"06",152
"36",18,"07",194
"37",11,"08",222
"38",20,"09",257
"39",15,"10",278
"40",19,"11",313
"41",30,"12",341
"42",29,"01",11
"43",26,"02",41
"44",20,"03",67
"45",24,"04",96
"46",22,"05",130
"47",23,"06",158
"48",13,"08",215
"49",19,"09",257
"50",19,"10",276
"51",27,"11",312
"52",22,"12",341
