"","SST","month","yday"
"1",23.8866643789987,"01",11
"2",23.5385333487709,"02",43
"3",22.251025708154,"03",72
"4",22.2966195241234,"04",106
"5",22.5042899849615,"05",129
"6",24.5737037813486,"06",163
"7",26.7547316799628,"07",191
"8",24.6232838725341,"08",218
"9",29.0762473398689,"09",253
"10",26.4161691221404,"10",282
"11",25.7439099553414,"11",314
"12",26.2395177751812,"12",345
"13",23.0006541507318,"01",6
"14",23.28758529911,"02",43
"15",21.2022004665894,"03",71
"16",22.4853167639703,"04",104
"17",23.8027487221802,"05",129
"18",25.2126063548937,"06",167
"19",24.0188761046963,"07",188
"20",23.1268388646813,"08",228
"21",27.6619157196749,"09",259
"22",28.2499467418665,"10",286
"23",26.4993300813954,"11",316
"24",24.8478859967339,"12",350
"25",24.4864557840183,"01",13
"26",24.8594501609671,"02",41
"27",21.8070152746122,"03",70
"28",24.7745648945318,"04",110
"29",25.5556659795098,"06",159
"30",24.7823885547178,"07",189
"31",28.005961109536,"08",216
"32",28.20941983011,"09",243
"33",26.7966223659524,"10",286
"34",27.1638440182274,"11",313
"35",26.8209923554986,"12",349
"36",24.2178748964553,"01",11
"37",22.0809509028139,"02",40
"38",24.2576528780767,"03",62
"39",25.6422781505704,"04",96
"40",25.4421394529325,"05",125
"41",25.4965281300114,"06",158
"42",26.2061394673717,"07",195
"43",27.2210745820428,"08",222
"44",28.9035908773988,"09",256
"45",28.2313129645189,"10",277
"46",28.1587722653667,"11",307
"47",28.2350700486148,"12",340
"48",24.5610648236571,"01",10
"49",23.0644268434872,"02",38
"50",23.9525394640734,"03",68
"51",24.2157657798938,"04",101
"52",23.5514904749053,"05",131
"53",24.7413914882006,"06",157
"54",23.4352658859948,"07",188
"55",28.6084326683518,"08",221
"56",27.341713873468,"09",255
"57",27.0764697243648,"10",283
