,NO2NO3,month,yday
1,9.24,1,11
2,9.24,2,43
3,9.24,3,72
4,9.24,4,106
5,9.24,5,129
6,9.24,6,163
7,9.24,7,191
8,9.24,8,218
9,9.24,9,253
10,9.24,10,282
11,9.24,11,314
12,9.24,12,345
13,9.24,1,6
14,9.24,2,43
15,9.24,3,71
16,9.24,4,104
17,9.24,5,129
18,9.24,6,167
19,9.24,7,188
20,9.24,8,228
21,9.24,9,259
22,9.24,10,286
23,9.24,11,316
24,9.24,12,350
25,9.24,1,13
26,9.24,2,41
27,9.24,3,70
28,9.24,4,110
29,9.24,6,159
30,9.24,7,189
31,9.24,8,216
32,9.24,9,243
33,9.24,10,286
34,9.24,11,313
35,9.24,12,349
36,9.24,1,11
37,9.24,2,40
38,9.24,3,62
39,9.24,4,96
40,9.24,5,125
41,9.24,6,158
42,9.24,7,195
43,9.24,8,222
44,9.24,9,256
45,9.24,10,277
46,9.24,11,307
47,9.24,12,340
48,9.24,1,10
49,9.24,2,38
50,9.24,3,68
51,9.24,4,101
52,9.24,5,131
53,9.24,6,157
54,9.24,7,188
55,9.24,8,221
56,9.24,9,255
57,9.24,10,283
