"","SiOH","month","yday"
"1",NA,"01",11
"2",NA,"02",43
"3",NA,"03",72
"4",NA,"04",106
"5",NA,"05",129
"6",NA,"06",163
"7",NA,"07",191
"8",NA,"08",218
"9",NA,"09",253
"10",NA,"10",282
"11",NA,"11",314
"12",NA,"12",345
"13",NA,"01",6
"14",NA,"02",43
"15",NA,"03",71
"16",NA,"04",104
"17",NA,"05",129
"18",NA,"06",167
"19",NA,"07",188
"20",NA,"08",228
"21",1.39579284660647,"09",259
"22",NA,"10",286
"23",1.6979942268072,"11",316
"24",NA,"12",350
"25",NA,"01",13
"26",0.619976711717901,"02",41
"27",3.32045308448359,"03",70
"28",0.714310042983931,"04",110
"29",0,"06",159
"30",0,"07",189
"31",0,"08",216
"32",0.0637272538863578,"09",243
"33",0.364000281098413,"10",286
"34",0.542066310111764,"11",313
"35",0.574431710366943,"12",349
"36",2.32808662506291,"01",11
"37",2.90382636088071,"02",40
"38",0.739827194216272,"03",62
"39",0,"04",96
"40",0.227099915966809,"05",125
"41",1.97792116423282,"06",158
"42",1.09983443776514,"07",195
"43",1.46347799627924,"08",222
"44",1.48187352609943,"09",256
"45",1.90261347310263,"10",277
"46",2.37965573413856,"11",307
"47",2.03071636335479,"12",340
"48",3.60957710965044,"01",10
"49",3.40030484367079,"02",38
"50",2.53099324851325,"03",68
"51",0.857011244289801,"04",101
"52",1.07765712975508,"05",131
"53",0.773538238024167,"06",157
"54",0.263986479440885,"07",188
"55",1.07823529411765,"08",221
"56",0.240467849267613,"09",255
"57",0.782803657292961,"10",283
