"","MLD","month","yday"
"1",100,"01",11
"2",100,"02",43
"3",100,"03",72
"4",100,"04",106
"5",100,"05",129
"6",100,"06",163
"7",100,"07",191
"8",100,"08",218
"9",100,"09",253
"10",100,"10",282
"11",100,"11",314
"12",100,"12",345
"13",100,"01",6
"14",100,"02",43
"15",100,"03",71
"16",100,"04",104
"17",100,"05",129
"18",100,"06",167
"19",100,"07",188
"20",100,"08",228
"21",100,"09",259
"22",100,"10",286
"23",100,"11",316
"24",100,"12",350
"25",100,"01",13
"26",100,"02",41
"27",100,"03",70
"28",100,"04",110
"29",100,"06",159
"30",100,"07",189
"31",100,"08",216
"32",100,"09",243
"33",100,"10",286
"34",100,"11",313
"35",100,"12",349
"36",100,"01",11
"37",100,"02",40
"38",100,"03",62
"39",100,"04",96
"40",100,"05",125
"41",100,"06",158
"42",100,"07",195
"43",100,"08",222
"44",100,"09",256
"45",100,"10",277
"46",100,"11",307
"47",100,"12",340
"48",100,"01",10
"49",100,"02",38
"50",100,"03",68
"51",100,"04",101
"52",100,"05",131
"53",100,"06",157
"54",100,"07",188
"55",100,"08",221
"56",100,"09",255
"57",100,"10",283
