"","Value","month","yday","reg"
"58",0.243550327544244,"07",184,2
"59",0.346937445915316,"08",214,2
"60",0.261134251338917,"09",254,2
"61",0.231707646239695,"10",282,2
"62",0.121027267184573,"11",305,2
"63",0.142712042081686,"12",338,2
"64",0.451290293052351,"02",36,2
"65",0.465937391135518,"03",64,2
"66",0.378176835947906,"04",99,2
"67",0.345817905039931,"05",127,2
"68",0.145261204068614,"06",155,2
"69",0.372206091937236,"07",183,2
"70",0.172747881984076,"08",218,2
"71",0.170023732521787,"09",246,2
"72",0.126422017643931,"10",281,2
"73",0.207805483746747,"12",344,2
"74",0.352327916660361,"01",9,2
"75",0.353951971802642,"02",42,2
"76",0.426394466976288,"03",70,2
"77",0.351667204279459,"04",98,2
"78",0.272195955242281,"05",126,2
"79",0.191549243090386,"06",155,2
"80",0.320933162937728,"07",189,2
"81",0.200471023572901,"08",217,2
"82",0.161347543604404,"09",253,2
"83",0.0944408482411607,"10",283,2
"84",0.144953224074353,"11",322,2
"85",0.0660026890406901,"12",344,2
"86",0.326405122040473,"01",12,2
"87",0.348083832335329,"02",40,2
"88",0.407968284576012,"03",61,2
"89",0.383625604216294,"04",96,2
"90",0.392467081923771,"05",127,2
"91",0.286972173649712,"06",152,2
"92",0.238968953770826,"07",194,2
"93",0.260747516293209,"08",222,2
"94",0.242895826552861,"09",257,2
"95",0.205118699277616,"10",278,2
"96",0.0603810938720685,"11",313,2
"97",0.568502942545274,"12",341,2
"98",0.233568024544084,"01",11,2
"99",0.419460776309062,"02",41,2
"100",0.218214200527245,"03",67,2
"101",0.220642432726259,"04",96,2
"102",0.141404795792789,"05",130,2
"103",0.127454156853538,"06",158,2
"104",0.141561298251063,"08",215,2
"105",0.158873411953507,"09",257,2
"106",0.136533019343422,"10",276,2
"107",0.145660123434301,"11",312,2
"108",0.301248500113334,"12",341,2
