"","MLD","month","yday"
"1",36,"01",11
"2",28,"02",43
"3",28,"03",72
"4",32,"04",106
"5",12,"05",129
"6",21,"06",163
"7",14,"07",191
"8",22,"08",218
"9",9,"09",253
"10",18,"10",282
"11",14,"11",314
"12",27,"12",345
"13",62,"01",6
"14",34,"02",43
"15",31,"03",71
"16",27,"04",104
"17",14,"05",129
"18",13,"06",167
"19",9,"07",188
"20",17,"08",228
"21",19,"09",259
"22",11,"10",286
"23",17,"11",316
"24",13,"12",350
"25",22,"01",13
"26",35,"02",41
"27",43,"03",70
"28",26,"04",110
"29",17,"06",159
"30",14,"07",189
"31",17,"08",216
"32",12,"09",243
"33",12,"10",286
"34",21,"11",313
"35",26,"12",349
"36",22,"01",11
"37",52,"02",40
"38",14,"03",62
"39",19,"04",96
"40",19,"05",125
"41",16,"06",158
"42",13,"07",195
"43",12,"08",222
"44",12,"09",256
"45",17,"10",277
"46",25,"11",307
"47",57,"12",340
"48",42,"01",10
"49",35,"02",38
"50",23,"03",68
"51",26,"04",101
"52",12,"05",131
"53",25,"06",157
"54",8,"07",188
"55",6,"08",221
"56",11,"09",255
"57",13,"10",283
