"","NO2NO3","month","yday"
"1",NA,"01",11
"2",NA,"02",43
"3",NA,"03",72
"4",NA,"04",106
"5",NA,"05",129
"6",NA,"06",163
"7",NA,"07",191
"8",NA,"08",218
"9",NA,"09",253
"10",NA,"10",282
"11",NA,"11",314
"12",NA,"12",345
"13",NA,"01",6
"14",NA,"02",43
"15",NA,"03",71
"16",NA,"04",104
"17",NA,"05",129
"18",NA,"06",167
"19",NA,"07",188
"20",NA,"08",228
"21",0,"09",259
"22",NA,"10",286
"23",0.086042558152346,"11",316
"24",NA,"12",350
"25",NA,"01",13
"26",1.95931815474897,"02",41
"27",5.72920917356431,"03",70
"28",0.327426962712772,"04",110
"29",0.0583288280783425,"06",159
"30",0.0808740920696012,"07",189
"31",0,"08",216
"32",NA,"09",243
"33",0.0648880141219424,"10",286
"34",0,"11",313
"35",0,"12",349
"36",0.510166490490014,"01",11
"37",4.75740473500246,"02",40
"38",0.124048150235701,"03",62
"39",0.130771798441323,"04",96
"40",0.0399923776410544,"05",125
"41",0.121825368248655,"06",158
"42",0.0257328321762297,"07",195
"43",0.0245202298894165,"08",222
"44",0.0053260335408286,"09",256
"45",0,"10",277
"46",0,"11",307
"47",0.379217796864264,"12",340
"48",2.69984999417463,"01",10
"49",1.68925692122111,"02",38
"50",0.760038643042021,"03",68
"51",0.4329122973862,"04",101
"52",0.262840985117107,"05",131
"53",0.174208889550025,"06",157
"54",0.0604396832745664,"07",188
"55",0.00892160299100362,"08",221
"56",0.00752363887971838,"09",255
"57",0.0209213726872461,"10",283
