"","SiOH","month","yday"
"1",NA,"01",11
"2",NA,"02",43
"3",NA,"03",72
"4",NA,"04",106
"5",NA,"05",129
"6",NA,"06",163
"7",NA,"07",191
"8",NA,"08",218
"9",NA,"09",253
"10",NA,"10",282
"11",NA,"11",314
"12",NA,"12",345
"13",NA,"01",6
"14",NA,"02",43
"15",NA,"03",71
"16",NA,"04",104
"17",NA,"05",129
"18",NA,"06",167
"19",NA,"07",188
"20",NA,"08",228
"21",1.39437533130964,"09",259
"22",NA,"10",286
"23",1.70900594660827,"11",316
"24",NA,"12",350
"25",NA,"01",13
"26",0.621081115112445,"02",41
"27",12.85,"03",70
"28",0.714975834379082,"04",110
"29",0,"06",159
"30",0.00146994961409367,"07",189
"31",0,"08",216
"32",0.0628137590267516,"09",243
"33",0.363996398251857,"10",286
"34",0.542571826970577,"11",313
"35",0.574420164548047,"12",349
"36",0.55532303658939,"01",11
"37",19.49,"02",40
"38",0.738687465388545,"03",62
"39",0,"04",96
"40",0.225326681558623,"05",125
"41",2.00003332772327,"06",158
"42",1.10096483410697,"07",195
"43",1.46306921682491,"08",222
"44",1.52154360721949,"09",256
"45",1.90313848552776,"10",277
"46",NA,"11",307
"47",2.37169062526722,"12",340
"48",NA,"01",10
"49",NA,"02",38
"50",10.64,"03",68
"51",0.859456751358404,"04",101
"52",1.05521784637346,"05",131
"53",0.798931441544293,"06",157
"54",NA,"07",188
"55",1.07598434396542,"08",221
"56",0.239737481839771,"09",255
"57",0.783035794265536,"10",283
