"","Value","month","yday"
"1",1,"07",184
"2",NA,"08",214
"3",NA,"09",254
"4",NA,"10",282
"5",NA,"11",305
"6",7.3,"12",338
"7",18.2,"02",36
"8",8.3,"03",64
"9",14.6,"05",127
"10",3.1,"06",155
"11",3.7,"07",183
"12",3.4,"08",218
"13",0.7,"10",281
"14",2.3,"12",344
"15",5.3,"01",9
"16",4.9,"02",42
"17",5.4,"03",70
"18",8.2,"04",98
"19",3.3,"05",126
"20",5.4,"06",155
"21",2.9,"07",189
"22",2.7,"08",217
"23",3.1,"09",253
"24",4.2,"10",283
"25",2.2,"11",322
"26",1.6,"12",344
"27",6.3,"01",12
"28",16.9,"02",40
"29",5.1,"03",61
"30",8.6,"04",96
"31",8,"05",127
"32",3.5,"06",152
"33",5.3,"07",194
"34",5.7,"08",222
"35",5.9,"09",257
"36",3.5,"10",278
"37",2.6,"11",313
"38",3.6,"12",341
"39",6.2,"01",11
"40",4.3,"02",41
"41",3,"03",67
"42",9.1,"04",96
"43",2.4,"05",130
"44",3.3,"06",158
"45",3.2,"08",215
"46",2.5,"09",257
"47",2.1,"10",276
"48",2.1,"11",312
"49",1.8,"12",341
