"","abundance","month","yday"
"1",170,"07",184
"2",442,"08",214
"3",305,"09",254
"4",2477,"10",282
"5",543,"11",305
"6",862,"12",338
"7",1334,"02",36
"8",270,"03",64
"9",631,"05",127
"10",899,"06",155
"11",1361,"07",183
"12",1121,"08",218
"13",602,"10",281
"14",328,"12",344
"15",809,"01",9
"16",996,"02",42
"17",809,"03",70
"18",2027,"04",98
"19",204,"05",126
"20",191,"06",155
"21",985,"07",189
"22",962,"08",217
"23",433,"09",253
"24",680,"10",283
"25",338,"11",322
"26",281,"12",344
"27",973,"01",12
"28",661,"02",40
"29",878,"03",61
"30",1631,"04",96
"31",940,"05",127
"32",1156,"06",152
"33",446,"07",194
"34",1317,"08",222
"35",1479,"09",257
"36",110,"10",278
"37",652,"11",313
"38",1331,"12",341
"39",1577,"01",11
"40",841,"02",41
"41",1437,"03",67
"42",2215,"04",96
"43",849,"05",130
"44",296,"06",158
"45",729,"08",215
"46",1038,"09",257
"47",817,"10",276
"48",1063,"11",312
"49",461,"12",341
