"","abundance","month","yday"
"1",0.3,"07",184
"2",NA,"08",214
"3",NA,"09",254
"4",NA,"10",282
"5",NA,"11",305
"6",1.09,"12",338
"7",5.01,"02",36
"8",5.02,"03",64
"9",3.36,"05",127
"10",2.3,"06",155
"11",2.76,"07",183
"12",3,"08",218
"13",0.39,"10",281
"14",1.05,"12",344
"15",4.14,"01",9
"16",4.12,"02",42
"17",2.12,"03",70
"18",4.41,"04",98
"19",1.31,"05",126
"20",3.19,"06",155
"21",1.19,"07",189
"22",2.06,"08",217
"23",1.27,"09",253
"24",1.9,"10",283
"25",0.61,"11",322
"26",0.94,"12",344
"27",5.38,"01",12
"28",11.37,"02",40
"29",4.24,"03",61
"30",4.23,"04",96
"31",4.02,"05",127
"32",3.51,"06",152
"33",3.82,"07",194
"34",3.03,"08",222
"35",3.26,"09",257
"36",0.44,"10",278
"37",1.59,"11",313
"38",1.13,"12",341
"39",4.05,"01",11
"40",0,"02",41
"41",1.83,"03",67
"42",5.09,"04",96
"43",2.02,"05",130
"44",2.68,"06",158
"45",2.12,"08",215
"46",2.24,"09",257
"47",1.76,"10",276
"48",1.22,"11",312
"49",1.53,"12",341
