"","abundance","month","yday"
"1",3.46745758601405,"01",11
"2",1.27492779909228,"02",43
"3",0.249045493564197,"03",72
"4",0.563265462749174,"04",106
"5",1.90909090909091,"05",129
"6",3.29555871573437,"06",163
"7",0.245538461538462,"07",191
"8",0.145544477047236,"08",218
"9",0,"09",253
"10",0,"10",282
"11",0,"11",314
"12",0.325949828648593,"12",345
"13",0,"01",6
"14",0,"02",43
"15",0.0187925708341022,"03",71
"16",0,"04",104
"17",0,"05",129
"18",0,"06",167
"19",0.138116555055088,"07",188
"20",0.0159587789845718,"09",259
"21",0.512819608892925,"10",286
"22",0.382018386358223,"11",316
"23",0.71909941752999,"12",350
"24",1.36183776747121,"01",13
"25",0.612348227417053,"02",41
"26",0,"03",70
"27",14.2205284266887,"06",159
"28",0.23636134310471,"07",189
"29",0.0217494627156986,"08",216
"30",0.0509625010956088,"09",243
"31",0,"10",286
"32",0.935562175177111,"12",349
"33",0,"01",11
"34",2.25524438687397,"02",40
"35",0.0112704742540036,"03",62
"36",0.11451970952799,"04",96
"37",0.168099263280166,"05",125
"38",0.0578758822555721,"06",158
"39",0.0948178055028114,"07",195
"40",0.0215265604627852,"08",222
"41",2.75159572859297,"09",256
"42",0,"10",277
"43",0.337235591327133,"11",307
"44",1.38991515607714,"12",340
"45",4.56657356696576,"01",10
"46",58.2365295106232,"02",38
"47",48.1676123177679,"03",68
"48",7.0571036659067,"04",101
"49",11.811180001998,"05",131
"50",13.1593292940834,"06",157
"51",21.0725,"07",188
"52",45.7950863920867,"10",283
