"","abundance","month","yday"
"1",484.718011251972,"01",11
"2",737.259746509125,"02",43
"3",559.990633479783,"03",72
"4",570.85855475622,"04",106
"5",406.986096776347,"05",129
"6",86.8632018891659,"06",163
"7",70.9503643201473,"07",191
"8",206.696601048428,"08",218
"9",32.020657956044,"09",253
"10",137.74111811606,"10",282
"11",139.489064725385,"11",314
"12",199.951241734535,"12",345
"13",183.445757264775,"01",6
"14",156.733164113562,"02",43
"15",396.630635527667,"03",71
"16",327.635622180184,"04",104
"17",283.551453303723,"05",129
"18",285.38671348533,"06",167
"19",255.429408548726,"07",188
"20",29.1364844443501,"09",259
"21",43.5176479101627,"10",286
"22",30.2245796204551,"11",316
"23",257.228328293662,"12",350
"24",251.50189050957,"01",13
"25",62.2068525694677,"02",41
"26",166.096812733395,"03",70
"27",152.006010155384,"06",159
"28",96.9717425241959,"07",189
"29",79.8242078266975,"08",216
"30",46.9085462919523,"09",243
"31",250.005007126239,"10",286
"32",125.952345961647,"12",349
"33",1015.42661902183,"01",11
"34",593.068076059793,"02",40
"35",149.41094159787,"03",62
"36",79.9536544265094,"04",96
"37",176.734971734987,"05",125
"38",303.526090455791,"06",158
"39",348.678849826663,"07",195
"40",217.614073181983,"08",222
"41",193.224557592865,"09",256
"42",212.211277886399,"10",277
"43",234.868463309692,"11",307
"44",177.957441828109,"12",340
"45",157.465937840166,"01",10
"46",1234.71847436331,"02",38
"47",782.055652475966,"03",68
"48",196.282715774242,"04",101
"49",77.0258672856388,"05",131
"50",42.9262556164624,"06",157
"51",0,"07",188
"52",256.038504379921,"10",283
