"","Value","month","yday","reg"
"57",1.835195,"07",184,2
"58",4.0473,"08",214,2
"59",2.53623,"09",254,2
"60",1.847365,"10",282,2
"61",3.35055,"11",305,2
"62",2.105195,"12",338,2
"63",0.162275,"02",36,2
"64",2.23222,"03",64,2
"65",2.508175,"04",99,2
"66",4.552435,"05",127,2
"67",3.071765,"06",155,2
"68",1.13525,"07",183,2
"69",4.70048,"08",218,2
"70",3.610135,"09",246,2
"71",4.633365,"10",291,2
"72",4.118395,"12",344,2
"73",1.587075,"01",9,2
"74",4.23972,"02",42,2
"75",0.567845,"03",70,2
"76",1.09656,"04",98,2
"77",2.133995,"05",124,2
"78",4.769125,"06",154,2
"79",2.445185,"07",189,2
"80",3.641235,"08",217,2
"81",3.799745,"09",253,2
"82",4.11547,"10",283,2
"83",3.13076,"11",322,2
"84",3.51075,"12",344,2
"85",1.28966,"01",12,2
"86",0.7362,"02",40,2
"87",0.86361,"03",61,2
"88",1.36404,"04",96,2
"89",1.665075,"05",127,2
"90",1.52874,"06",152,2
"91",1.776555,"07",194,2
"92",2.612725,"08",222,2
"93",4.56325,"09",257,2
"94",2.51844,"10",279,2
"95",4.52301,"11",313,2
"96",1.85314,"12",341,2
"97",2.80889,"01",6,2
"98",0.15863,"02",41,2
"99",2.64171,"03",67,2
"100",2.4811,"04",96,2
"101",1.558935,"05",130,2
"102",2.659595,"06",158,2
"103",3.50069,"08",215,2
"104",5.42296,"09",257,2
"105",6.48391,"10",277,2
"106",4.030405,"11",312,2
"107",1.86724,"12",341,2
