"","Value","month","yday","reg"
"57",5.76877,"07",184,2
"58",6.206105,"08",214,2
"59",8.275705,"09",254,2
"60",22.785135,"10",282,2
"61",6.168005,"11",305,2
"62",11.43832,"12",338,2
"63",78.083295,"02",36,2
"64",10.451145,"03",64,2
"65",8.898745,"04",99,2
"66",7.85229,"05",127,2
"67",7.36589,"06",155,2
"68",15.741565,"07",183,2
"69",6.620765,"08",218,2
"70",7.85588,"09",246,2
"71",9.814225,"10",291,2
"72",6.393245,"12",344,2
"73",12.527695,"01",9,2
"74",4.743105,"02",42,2
"75",29.605895,"03",70,2
"76",10.704585,"04",98,2
"77",7.781045,"05",124,2
"78",4.732525,"06",154,2
"79",10.84948,"07",189,2
"80",18.006645,"08",217,2
"81",6.805545,"09",253,2
"82",9.063175,"10",283,2
"83",8.550245,"11",322,2
"84",4.11132,"12",344,2
"85",38.30278,"01",12,2
"86",30.320605,"02",40,2
"87",14.619725,"03",61,2
"88",7.22603,"04",96,2
"89",8.808915,"05",127,2
"90",9.684125,"06",152,2
"91",9.428275,"07",194,2
"92",8.977325,"08",222,2
"93",11.442185,"09",257,2
"94",10.052215,"10",279,2
"95",5.330545,"11",313,2
"96",8.51074,"12",341,2
"97",4.667085,"01",6,2
"98",84.60711,"02",41,2
"99",3.669155,"03",67,2
"100",10.363495,"04",96,2
"101",10.647565,"05",130,2
"102",4.16757,"06",158,2
"103",3.82015,"08",215,2
"104",7.16734,"09",257,2
"105",8.049705,"10",277,2
"106",1.97513,"11",312,2
"107",5.472535,"12",341,2
