"","Value","month","yday","reg"
"1",6.328175,"01",12,1
"2",1.84079,"02",44,1
"3",1.80433,"03",72,1
"4",2.71815,"04",107,1
"5",0.01291,"05",130,1
"6",0.93577,"06",164,1
"7",1.0305,"07",192,1
"8",0.571315,"08",219,1
"9",1.056805,"09",254,1
"10",1.56855,"10",282,1
"11",1.1897,"11",315,1
"12",0.51124,"12",344,1
"13",2.68873,"01",7,1
"14",1.62769,"02",44,1
"15",1.045285,"02",53,1
"16",0.16326,"03",71,1
"17",2.29184,"04",105,1
"18",1.131,"05",129,1
"19",0.70294,"06",167,1
"20",0.3292,"07",188,1
"21",2.12088,"07",196,1
"22",0.840385,"08",228,1
"23",1.14859,"09",259,1
"24",0.971685,"10",286,1
"25",1.00451,"11",316,1
"26",1.07069,"12",350,1
"27",2.47864,"01",13,1
"28",1.355915,"02",41,1
"29",2.006725,"03",70,1
"30",1.262215,"04",110,1
"31",0.03505,"06",159,1
"32",0.00066,"07",189,1
"33",0.04133,"08",216,1
"34",0.02083,"09",243,1
"35",0.01235,"12",349,1
"36",0.0164,"01",11,1
"37",0,"03",62,1
"38",0.01111,"04",96,1
"39",0,"05",125,1
"40",1.7715975,"06",158,1
"41",0.0025,"07",195,1
"42",0.0017,"08",222,1
"43",0.014555,"09",256,1
"44",0.003325,"10",277,1
"45",0.00315,"11",307,1
"46",0.012625,"12",340,1
"47",0.01289,"01",10,1
"48",0.012815,"02",38,1
"49",0.006575,"03",68,1
"50",0.5319,"04",101,1
"51",0.009345,"05",131,1
"52",0.031995,"06",157,1
"53",0.00751,"07",188,1
"54",0.017165,"08",221,1
"55",1.20514,"09",255,1
"56",0.00975,"10",283,1
