"","Value","month","yday","reg"
"57",3.073175,"07",184,2
"58",7.976955,"08",214,2
"59",8.01626,"09",254,2
"60",17.483485,"10",282,2
"61",6.67848,"11",305,2
"62",8.998085,"12",338,2
"63",15.298865,"02",36,2
"64",10.76819,"03",64,2
"65",10.62554,"04",99,2
"66",10.38206,"05",127,2
"67",4.928805,"06",155,2
"68",5.595345,"07",183,2
"69",10.357915,"08",218,2
"70",5.63236,"09",246,2
"71",18.42295,"10",291,2
"72",14.123335,"12",344,2
"73",4.54003,"01",9,2
"74",17.840135,"02",42,2
"75",14.77187,"03",70,2
"76",9.298475,"04",98,2
"77",9.28224,"05",124,2
"78",13.709035,"06",154,2
"79",13.78526,"07",189,2
"80",19.876425,"08",217,2
"81",4.748745,"09",253,2
"82",7.46739,"10",283,2
"83",6.285905,"11",322,2
"84",5.086805,"12",344,2
"85",12.319765,"01",12,2
"86",8.497495,"02",40,2
"87",8.00453,"03",61,2
"88",11.088185,"04",96,2
"89",13.962235,"05",127,2
"90",14.217905,"06",152,2
"91",5.354915,"07",194,2
"92",17.943185,"08",222,2
"93",15.772715,"09",257,2
"94",13.21,"10",279,2
"95",5.74191,"11",313,2
"96",5.47337,"12",341,2
"97",15.187315,"01",6,2
"98",16.29059,"02",41,2
"99",20.619945,"03",67,2
"100",7.583395,"04",96,2
"101",15.711465,"05",130,2
"102",6.27554,"06",158,2
"103",5.81862,"08",215,2
"104",11.08445,"09",257,2
"105",7.98104,"10",277,2
"106",6.511615,"11",312,2
"107",12.322605,"12",341,2
