"","abundance","month","yday"
"1",0.00700501557632399,"07",184
"2",0,"08",214
"3",0.00789280143093264,"09",254
"4",0.00811250686266376,"10",282
"5",0.114817743907265,"11",305
"6",0.00354902341878225,"12",338
"7",0,"02",36
"8",0,"03",64
"9",0,"04",99
"10",0.0120913507556796,"05",127
"11",0.148977916562586,"06",155
"12",0.22933799091357,"07",183
"13",0.00977239291792113,"08",218
"14",0.312392069143207,"09",246
"15",0.0270856552353296,"10",281
"16",0.0104316011059331,"12",344
"17",0.68297572672277,"01",9
"18",0.073099549050701,"02",42
"19",0.0022,"03",70
"20",0.00294883910948907,"04",98
"21",0,"05",124
"22",0.00166666666666667,"06",155
"23",0,"07",189
"24",0.0163118194455313,"08",217
"25",0.0188832233105122,"09",253
"26",0.0377369236726144,"10",283
"27",0.00353687985091307,"11",322
"28",0.270767211962527,"12",344
"29",0.0574899631763666,"01",12
"30",0.0022,"02",40
"31",0.00742916854487909,"03",61
"32",0.00379970928204089,"04",96
"33",0,"05",127
"34",0,"06",152
"35",0,"07",194
"36",0.00606504163768064,"08",222
"37",0.0685391997818223,"09",257
"38",0.015,"10",278
"39",0,"11",313
"40",0.00846528524923927,"12",341
"41",0.0305047672797423,"01",11
"42",0,"02",41
"43",0.0257894736842105,"03",67
"44",0,"04",96
"45",0.00166666666666667,"05",130
"46",0.0748671667743511,"06",158
"47",0.0502050128745934,"08",215
"48",0.02,"09",257
"49",0.320946218860802,"10",276
"50",0.00676079819829113,"11",312
"51",0.0558999333590189,"12",341
