"","abundance","month","yday"
"1",834.252061256974,"01",11
"2",583.110298919951,"02",43
"3",842.835625314059,"03",72
"4",250.993904489883,"04",106
"5",547.709904399225,"05",129
"6",37.8302419637323,"06",163
"7",4.82764508047279,"07",191
"8",30.4865056186686,"08",218
"9",6.13711300819452,"09",253
"10",14.2458285858639,"10",282
"11",11.1640259903493,"11",314
"12",23.9851420874913,"12",345
"13",320.618882190792,"01",6
"14",87.7616634198944,"02",43
"15",427.101958262336,"03",71
"16",401.066358836692,"04",104
"17",711.799549026093,"05",129
"18",737.787107099722,"06",167
"19",284.83837538916,"07",188
"20",0.820900836028279,"09",259
"21",0.0915980016814191,"10",286
"22",3.4723069613419,"11",316
"23",986.831659753258,"12",350
"24",46.6800703366313,"01",13
"25",72.1940590677457,"02",41
"26",1569.54572605021,"03",70
"27",3.49163761718842,"06",159
"28",110.609182413382,"07",189
"29",1.14903697064516,"08",216
"30",23.8393869472885,"09",243
"31",1.01555928415901,"10",286
"32",1.15199816775483,"12",349
"33",217.828426972209,"01",11
"34",585.295996201282,"02",40
"35",1.28499523411882,"03",62
"36",6.26818604769288,"04",96
"37",16.3801487464959,"05",125
"38",24.3478244775776,"06",158
"39",63.7558927873914,"07",195
"40",3.48813116049552,"08",222
"41",0.142114639377722,"09",256
"42",4.46957190323295,"10",277
"43",0,"11",307
"44",0.124019747690512,"12",340
"45",4.8837649234804,"01",10
"46",8.16563694487169,"02",38
"47",4.05992934551753,"03",68
"48",1797.23163167647,"04",101
"49",2.3823800571481,"05",131
"50",0.0746666666666667,"06",157
"51",135.582,"07",188
"52",1.2023307836569,"10",283
