"","abundance","month","yday"
"1",46.6187302935512,"01",11
"2",20.297431164531,"02",43
"3",3.40725649846451,"03",72
"4",3.99946084889306,"04",106
"5",7.85367867622768,"05",129
"6",12.0970801592367,"06",163
"7",10.7245919400907,"07",191
"8",12.0811985234768,"08",218
"9",12.4460411559596,"09",253
"10",10.3653335016898,"10",282
"11",12.5536027039893,"11",314
"12",9.6461942966991,"12",345
"13",7.05618723445956,"01",6
"14",9.10794113761602,"02",43
"15",30.7781398882158,"03",71
"16",25.2155242178725,"04",104
"17",10.1655043096721,"05",129
"18",9.59516184861533,"06",167
"19",16.1951373863008,"07",188
"20",9.04563088247717,"09",259
"21",21.9594903309793,"10",286
"22",19.6691460806318,"11",316
"23",231.459131845912,"12",350
"24",51.9590918669186,"01",13
"25",27.2938471143781,"02",41
"26",23.5242396027064,"03",70
"27",7.44892028377623,"06",159
"28",2.12670357368052,"07",189
"29",15.6514233179641,"08",216
"30",5.29798307562413,"09",243
"31",9.88081919092765,"10",286
"32",25.3002149256899,"12",349
"33",35.3909461169139,"01",11
"34",21.0067926080591,"02",40
"35",13.0490472190891,"03",62
"36",2.57660063338512,"04",96
"37",12.4509565320285,"05",125
"38",7.46736512286252,"06",158
"39",17.3076118978899,"07",195
"40",3.49910058953307,"08",222
"41",1.96828224764537,"09",256
"42",3.98277011804233,"10",277
"43",1.49439339285596,"11",307
"44",3.60909778249025,"12",340
"45",2.62811170466243,"01",10
"46",0.0564117647058824,"02",38
"47",0.904856586600375,"03",68
"48",3.69540187671305,"04",101
"49",0.950211305352163,"05",131
"50",2.26665896443278,"06",157
"51",24.9035,"07",188
"52",4.20814321125495,"10",283
