"","Value","month","yday","reg"
"1",5.28245,"01",12,1
"2",2.773415,"02",44,1
"3",2.7558,"03",72,1
"4",50.82871,"04",107,1
"5",9.914615,"05",130,1
"6",4.04103,"06",164,1
"7",7.14089,"07",192,1
"8",7.14615,"08",219,1
"9",12.58596,"09",254,1
"10",8.6868,"10",282,1
"11",8.475305,"11",315,1
"12",4.00888,"12",344,1
"13",6.235035,"01",7,1
"14",1.6951,"02",44,1
"15",2.057375,"02",53,1
"16",0.19165,"03",71,1
"17",7.008515,"04",105,1
"18",2.81171,"05",129,1
"19",4.618865,"06",167,1
"20",1.85342,"07",188,1
"21",3.754905,"07",196,1
"22",8.06894,"08",228,1
"23",3.421965,"09",259,1
"24",3.948025,"10",286,1
"25",6.79081,"11",316,1
"26",7.8122,"12",350,1
"27",6.494125,"01",13,1
"28",3.720035,"02",41,1
"29",5.176105,"03",70,1
"30",6.53094,"04",110,1
"31",21.67748,"06",159,1
"32",18.76032,"07",189,1
"33",14.78148,"08",216,1
"34",4.284905,"09",243,1
"35",8.14573,"12",349,1
"36",37.91913,"01",11,1
"37",1.362,"03",62,1
"38",14.03555,"04",96,1
"39",0.00099,"05",125,1
"40",13.01745,"06",158,1
"41",19.544765,"07",195,1
"42",27.75776,"08",222,1
"43",13.36211,"09",256,1
"44",6.77908,"10",277,1
"45",1.921635,"11",307,1
"46",2.240745,"12",340,1
"47",6.119685,"01",10,1
"48",9.075345,"02",38,1
"49",2.58159,"03",68,1
"50",4.398385,"04",101,1
"51",8.2532,"05",131,1
"52",6.40364,"06",157,1
"53",3.20546,"07",188,1
"54",5.248655,"08",221,1
"55",6.463285,"09",255,1
"56",5.13344,"10",283,1
