"","Value","month","yday","reg"
"58",4.17527015339754,"07",184,2
"59",6.56536087267758,"08",214,2
"60",3.40476456907584,"09",254,2
"61",3.49135241344915,"10",282,2
"62",1.40281926659868,"11",305,2
"63",1.85632617892392,"12",338,2
"64",7.04635480535735,"02",36,2
"65",7.45115377918122,"03",64,2
"66",6.43300306088252,"04",99,2
"67",4.94658838137203,"05",127,2
"68",1.38246330784396,"06",155,2
"69",21.224417303765,"07",183,2
"70",2.12701646924216,"08",218,2
"71",2.16366496366099,"09",246,2
"72",2.02934919564161,"10",281,2
"73",2.89128172601588,"12",344,2
"74",5.20839718601211,"01",9,2
"75",5.99565251551354,"02",42,2
"76",7.11810768185023,"03",70,2
"77",6.04192494278834,"04",98,2
"78",5.09574343698332,"05",126,2
"79",2.67996512815675,"06",155,2
"80",5.62158454828923,"07",189,2
"81",3.62160235709934,"08",217,2
"82",1.78807564149115,"09",253,2
"83",1.19167688936127,"10",283,2
"84",2.19609166481472,"11",322,2
"85",1.45152481270821,"12",344,2
"86",5.24465521259466,"01",12,2
"87",2.68288423153693,"02",40,2
"88",7.02627826293112,"03",61,2
"89",6.39159447120742,"04",96,2
"90",6.75530114214684,"05",127,2
"91",5.78905110686008,"06",152,2
"92",3.92751340920672,"07",194,2
"93",5.02062732300254,"08",222,2
"94",4.05068146231016,"09",257,2
"95",3.36483781713277,"10",278,2
"96",1.08326727500602,"11",313,2
"97",2.15874442160885,"12",341,2
"98",3.88224795815753,"01",11,2
"99",6.11601365632404,"02",41,2
"100",3.69196160815021,"03",67,2
"101",3.55743530311726,"04",96,2
"102",2.8041546254685,"05",130,2
"103",2.83152042384995,"06",158,2
"104",2.43989009839412,"08",215,2
"105",1.89523385150197,"09",257,2
"106",1.31488219159804,"10",276,2
"107",1.79906381928488,"11",312,2
"108",4.13453733767351,"12",341,2
