"","Value","month","yday","reg"
"1",3.103075,"01",12,1
"2",3.574495,"02",44,1
"3",1.51019,"03",72,1
"4",15.70696,"04",107,1
"5",2.36043,"05",130,1
"6",9.139965,"06",164,1
"7",1.49912,"07",192,1
"8",4.925865,"08",219,1
"9",2.620935,"09",254,1
"10",2.352165,"10",282,1
"11",4.868375,"11",315,1
"12",5.66519,"12",344,1
"13",4.241065,"01",7,1
"14",4.558455,"02",44,1
"15",0.43125,"02",53,1
"16",6.832545,"03",71,1
"17",3.01883,"04",105,1
"18",1.85873,"05",129,1
"19",9.558525,"06",167,1
"20",1.776265,"07",188,1
"21",2.54198,"07",196,1
"22",5.926335,"08",228,1
"23",5.00243,"09",259,1
"24",6.836255,"10",286,1
"25",4.63756,"11",316,1
"26",5.86919,"12",350,1
"27",3.61174,"01",13,1
"28",2.747885,"02",41,1
"29",3.116505,"03",70,1
"30",3.736755,"04",110,1
"31",9.46499,"06",159,1
"32",3.50918,"07",189,1
"33",4.294695,"08",216,1
"34",2.729715,"09",243,1
"35",3.873325,"12",349,1
"36",6.65115,"01",11,1
"37",0.1117,"03",62,1
"38",0.57292,"04",96,1
"39",0.0099,"05",125,1
"40",3.825825,"06",158,1
"41",1.118325,"07",195,1
"42",0.0095,"08",222,1
"43",1.100245,"09",256,1
"44",3.488375,"10",277,1
"45",0.95959,"11",307,1
"46",0.796705,"12",340,1
"47",3.910575,"01",10,1
"48",3.62733,"02",38,1
"49",1.271455,"03",68,1
"50",2.253415,"04",101,1
"51",3.48315,"05",131,1
"52",2.481595,"06",157,1
"53",0.24061,"07",188,1
"54",2.220615,"08",221,1
"55",1.733695,"09",255,1
"56",2.98967,"10",283,1
