"","Value","month","yday","reg"
"58",NA,"07",184,2
"59",NA,"08",214,2
"60",NA,"09",254,2
"61",NA,"10",282,2
"62",10.7255476289673,"11",305,2
"63",7.66524312900093,"12",338,2
"64",22.6292121521137,"02",36,2
"65",14.0604115653029,"03",64,2
"66",15.2367269498396,"04",99,2
"67",6.29539770552845,"05",127,2
"68",5.4001318875068,"06",155,2
"69",12.4313473775826,"07",183,2
"70",10.2738524235358,"08",218,2
"71",11.9371927976,"09",246,2
"72",11.0631591548777,"10",281,2
"73",7.14206743375036,"12",344,2
"74",10.5504121541742,"01",9,2
"75",14.9857385396757,"02",42,2
"76",14.8098008594296,"03",70,2
"77",22.0206770554668,"04",98,2
"78",13.5075232117625,"05",126,2
"79",13.732955667352,"06",155,2
"80",10.492679483336,"07",189,2
"81",15.8802604635016,"08",217,2
"82",7.89723255644149,"09",253,2
"83",10.5374065452783,"10",283,2
"84",9.42326793309738,"11",322,2
"85",4.38539664599373,"12",344,2
"86",15.9932386513853,"01",12,2
"87",18.7889121756487,"02",40,2
"88",13.5629768608335,"03",61,2
"89",11.5798418272007,"04",96,2
"90",13.226019489133,"05",127,2
"91",13.6077815587528,"06",152,2
"92",8.32242021143128,"07",194,2
"93",14.0646656827748,"08",222,2
"94",18.0258892544042,"09",257,2
"95",NA,"10",278,2
"96",12.9618091735586,"11",313,2
"97",11.4010579101192,"12",341,2
"98",10.7845211003463,"01",11,2
"99",21.1993751963619,"02",41,2
"100",6.51690569529661,"03",67,2
"101",10.8993260082408,"04",96,2
"102",17.5621002538952,"05",130,2
"103",14.1845691497788,"06",158,2
"104",9.84569373959607,"08",215,2
"105",13.2556390629585,"09",257,2
"106",13.8497358634334,"10",276,2
"107",NA,"11",312,2
"108",NA,"12",341,2
