"","Value","month","yday","reg"
"1",NA,"01",11,1
"2",NA,"02",43,1
"3",NA,"03",72,1
"4",NA,"04",106,1
"5",NA,"05",129,1
"6",NA,"06",163,1
"7",NA,"07",191,1
"8",NA,"08",218,1
"9",NA,"09",253,1
"10",NA,"10",282,1
"11",NA,"11",314,1
"12",NA,"12",345,1
"13",NA,"01",6,1
"14",NA,"02",43,1
"15",NA,"03",71,1
"16",NA,"04",104,1
"17",NA,"05",129,1
"18",NA,"06",167,1
"19",NA,"07",188,1
"20",NA,"08",228,1
"21",2.00372666220529,"09",259,1
"22",NA,"10",286,1
"23",4.11734506916347,"11",316,1
"24",NA,"12",350,1
"25",NA,"01",13,1
"26",0.946185820541803,"02",41,1
"27",3.58755311009428,"03",70,1
"28",1.38324786093156,"04",110,1
"29",0.631273027605345,"06",159,1
"30",2.37971344647417,"07",189,1
"31",0.740723669247481,"08",216,1
"32",9.431565086546,"09",243,1
"33",1.42699194081523,"10",286,1
"34",1.01899106746614,"11",313,1
"35",1.08127098423085,"12",349,1
"36",2.18516775918254,"01",11,1
"37",2.90856730072936,"02",40,1
"38",2.72537526517733,"03",62,1
"39",1.74400041883151,"04",96,1
"40",1.25135151951829,"05",125,1
"41",3.00041969799739,"06",158,1
"42",2.77679900037574,"07",195,1
"43",2.94789589477065,"08",222,1
"44",2.29006085721633,"09",256,1
"45",2.57506189095018,"10",277,1
"46",2.44722533085341,"11",307,1
"47",2.66701615686516,"12",340,1
"48",4.19632608112614,"01",10,1
"49",3.87557711366544,"02",38,1
"50",4.02654770321454,"03",68,1
"51",3.23800420664004,"04",101,1
"52",3.18562260055225,"05",131,1
"53",2.20668108042841,"06",157,1
"54",2.63060002297284,"07",188,1
"55",1.39685953657113,"08",221,1
"56",1.15064738508772,"09",255,1
"57",1.30443493767284,"10",283,1
