"","Date","val","spec","month","reg","yday","Value"
"2",1996-01-13,44.21,"Tchla","01","1",12,44.21
"3",1996-02-14,28.77,"Tchla","02","1",44,28.77
"4",1996-03-13,21.26,"Tchla","03","1",72,21.26
"5",1996-04-17,171.92,"Tchla","04","1",107,171.92
"6",1996-05-10,44.24,"Tchla","05","1",130,44.24
"7",1996-06-13,27.77,"Tchla","06","1",164,27.77
"8",1996-07-11,23.39,"Tchla","07","1",192,23.39
"9",1996-08-07,22.42,"Tchla","08","1",219,22.42
"10",1996-09-11,32.23,"Tchla","09","1",254,32.23
"11",1996-10-09,31.46,"Tchla","10","1",282,31.46
"12",1996-11-11,43.29,"Tchla","11","1",315,43.29
"13",1996-12-10,19.31,"Tchla","12","1",344,19.31
"14",1997-01-08,102.33,"Tchla","01","1",7,102.33
"15",1997-02-14,25.77,"Tchla","02","1",44,25.77
"16",1997-02-23,40.53,"Tchla","02","1",53,40.53
"17",1997-03-13,51.59,"Tchla","03","1",71,51.59
"18",1997-04-16,62.59,"Tchla","04","1",105,62.59
"19",1997-05-10,27.28,"Tchla","05","1",129,27.28
"20",1997-06-17,21.57,"Tchla","06","1",167,21.57
"21",1997-07-08,12.58,"Tchla","07","1",188,12.58
"22",1997-07-16,28.78,"Tchla","07","1",196,28.78
"23",1997-08-17,24.93,"Tchla","08","1",228,24.93
"24",1997-09-17,16.09,"Tchla","09","1",259,16.09
"25",1997-10-14,18.2,"Tchla","10","1",286,18.2
"26",1997-11-13,17.29,"Tchla","11","1",316,17.29
"27",1997-12-17,30.47,"Tchla","12","1",350,30.47
"28",1998-01-14,30.63,"Tchla","01","1",13,30.63
"29",1998-02-11,23.2,"Tchla","02","1",41,23.2
"30",1998-03-12,76.93,"Tchla","03","1",70,76.93
"31",1998-04-21,26.95,"Tchla","04","1",110,26.95
"32",1998-06-09,48.64,"Tchla","06","1",159,48.64
"33",1998-07-09,30,"Tchla","07","1",189,30
"34",1998-08-05,33.98,"Tchla","08","1",216,33.98
"35",1998-09-01,16.46,"Tchla","09","1",243,16.46
"36",1998-12-16,39.84,"Tchla","12","1",349,39.84
"37",1999-01-12,81.64,"Tchla","01","1",11,81.64
"38",1999-03-04,1.49,"Tchla","03","1",62,1.49
"39",1999-04-07,18.2,"Tchla","04","1",96,18.2
"40",1999-07-15,29.81,"Tchla","07","1",195,29.81
"41",1999-08-11,28.87,"Tchla","08","1",222,28.87
"42",1999-09-14,23.39,"Tchla","09","1",256,23.39
"43",1999-10-05,13.55,"Tchla","10","1",277,13.55
"44",1999-11-04,7.84,"Tchla","11","1",307,7.84
"45",1999-12-07,8.67,"Tchla","12","1",340,8.67
"46",2000-01-11,29.77,"Tchla","01","1",10,29.77
"47",2000-02-08,33.12,"Tchla","02","1",38,33.12
"48",2000-03-09,10.05,"Tchla","03","1",68,10.05
"49",2000-04-11,23.86,"Tchla","04","1",101,23.86
"50",2000-05-11,30.1,"Tchla","05","1",131,30.1
"51",2000-06-06,14.84,"Tchla","06","1",157,14.84
"52",2000-07-07,7.11,"Tchla","07","1",188,7.11
"53",2000-08-09,15.63,"Tchla","08","1",221,15.63
"54",2000-09-12,28.55,"Tchla","09","1",255,28.55
"55",2000-10-10,15.19,"Tchla","10","1",283,15.19
"164",1996-01-13,1.43,"Prasino3","01","1",12,1.43
"165",1996-02-14,1.64,"Prasino3","02","1",44,1.64
"166",1996-03-13,0.49,"Prasino3","03","1",72,0.49
"167",1996-04-17,1.11,"Prasino3","04","1",107,1.11
"168",1996-05-10,1.11,"Prasino3","05","1",130,1.11
"169",1996-06-13,4.43,"Prasino3","06","1",164,4.43
"170",1996-07-11,0.89,"Prasino3","07","1",192,0.89
"171",1996-08-07,4.19,"Prasino3","08","1",219,4.19
"172",1996-09-11,0.82,"Prasino3","09","1",254,0.82
"173",1996-10-09,0.52,"Prasino3","10","1",282,0.52
"174",1996-11-11,1.94,"Prasino3","11","1",315,1.94
"175",1996-12-10,3.99,"Prasino3","12","1",344,3.99
"176",1997-01-08,1.57,"Prasino3","01","1",7,1.57
"177",1997-02-14,4.29,"Prasino3","02","1",44,4.29
"178",1997-02-23,0.38,"Prasino3","02","1",53,0.38
"179",1997-03-13,6.84,"Prasino3","03","1",71,6.84
"180",1997-04-16,3,"Prasino3","04","1",105,3
"181",1997-05-10,1.57,"Prasino3","05","1",129,1.57
"182",1997-06-17,9.49,"Prasino3","06","1",167,9.49
"183",1997-07-08,1.73,"Prasino3","07","1",188,1.73
"184",1997-07-16,2.02,"Prasino3","07","1",196,2.02
"185",1997-08-17,5.83,"Prasino3","08","1",228,5.83
"186",1997-09-17,3.93,"Prasino3","09","1",259,3.93
"187",1997-10-14,5.84,"Prasino3","10","1",286,5.84
"188",1997-11-13,4.14,"Prasino3","11","1",316,4.14
"189",1997-12-17,4.85,"Prasino3","12","1",350,4.85
"190",1998-01-14,2.01,"Prasino3","01","1",13,2.01
"191",1998-02-11,2.25,"Prasino3","02","1",41,2.25
"192",1998-03-12,2.83,"Prasino3","03","1",70,2.83
"193",1998-04-21,2.64,"Prasino3","04","1",110,2.64
"194",1998-06-09,3.62,"Prasino3","06","1",159,3.62
"195",1998-07-09,3.3,"Prasino3","07","1",189,3.3
"196",1998-08-05,2.13,"Prasino3","08","1",216,2.13
"197",1998-09-01,0.5,"Prasino3","09","1",243,0.5
"198",1998-12-16,1.97,"Prasino3","12","1",349,1.97
"199",1999-01-12,0.04,"Prasino3","01","1",11,0.04
"200",1999-03-04,0,"Prasino3","03","1",62,0
"201",1999-04-07,0.46,"Prasino3","04","1",96,0.46
"202",1999-07-15,0.17,"Prasino3","07","1",195,0.17
"203",1999-08-11,0,"Prasino3","08","1",222,0
"204",1999-09-14,0.6,"Prasino3","09","1",256,0.6
"205",1999-10-05,2.58,"Prasino3","10","1",277,2.58
"206",1999-11-04,0.95,"Prasino3","11","1",307,0.95
"207",1999-12-07,0.69,"Prasino3","12","1",340,0.69
"208",2000-01-11,1.77,"Prasino3","01","1",10,1.77
"209",2000-02-08,1.92,"Prasino3","02","1",38,1.92
"210",2000-03-09,0.81,"Prasino3","03","1",68,0.81
"211",2000-04-11,1.33,"Prasino3","04","1",101,1.33
"212",2000-05-11,1.76,"Prasino3","05","1",131,1.76
"213",2000-06-06,2.17,"Prasino3","06","1",157,2.17
"214",2000-07-07,0.19,"Prasino3","07","1",188,0.19
"215",2000-08-09,1.51,"Prasino3","08","1",221,1.51
"216",2000-09-12,1.53,"Prasino3","09","1",255,1.53
"217",2000-10-10,2.49,"Prasino3","10","1",283,2.49
"326",1996-01-13,1.08,"Crypto1","01","1",12,1.08
"327",1996-02-14,1.93,"Crypto1","02","1",44,1.93
"328",1996-03-13,0.92,"Crypto1","03","1",72,0.92
"329",1996-04-17,2.76,"Crypto1","04","1",107,2.76
"330",1996-05-10,0.22,"Crypto1","05","1",130,0.22
"331",1996-06-13,3.81,"Crypto1","06","1",164,3.81
"332",1996-07-11,0.19,"Crypto1","07","1",192,0.19
"333",1996-08-07,0.14,"Crypto1","08","1",219,0.14
"334",1996-09-11,0.64,"Crypto1","09","1",254,0.64
"335",1996-10-09,0.64,"Crypto1","10","1",282,0.64
"336",1996-11-11,1.39,"Crypto1","11","1",315,1.39
"337",1996-12-10,1.17,"Crypto1","12","1",344,1.17
"338",1997-01-08,1.26,"Crypto1","01","1",7,1.26
"339",1997-02-14,0.27,"Crypto1","02","1",44,0.27
"340",1997-02-23,0.03,"Crypto1","02","1",53,0.03
"341",1997-03-13,0,"Crypto1","03","1",71,0
"342",1997-04-16,0.02,"Crypto1","04","1",105,0.02
"343",1997-05-10,0.29,"Crypto1","05","1",129,0.29
"344",1997-06-17,0.06,"Crypto1","06","1",167,0.06
"345",1997-07-08,0.02,"Crypto1","07","1",188,0.02
"346",1997-07-16,0.52,"Crypto1","07","1",196,0.52
"347",1997-08-17,0.1,"Crypto1","08","1",228,0.1
"348",1997-09-17,0.98,"Crypto1","09","1",259,0.98
"349",1997-10-14,1,"Crypto1","10","1",286,1
"350",1997-11-13,0.49,"Crypto1","11","1",316,0.49
"351",1997-12-17,1.01,"Crypto1","12","1",350,1.01
"352",1998-01-14,1.61,"Crypto1","01","1",13,1.61
"353",1998-02-11,0.5,"Crypto1","02","1",41,0.5
"354",1998-03-12,0.29,"Crypto1","03","1",70,0.29
"355",1998-04-21,1.11,"Crypto1","04","1",110,1.11
"356",1998-06-09,4.38,"Crypto1","06","1",159,4.38
"357",1998-07-09,0.21,"Crypto1","07","1",189,0.21
"358",1998-08-05,0.6,"Crypto1","08","1",216,0.6
"359",1998-09-01,1.42,"Crypto1","09","1",243,1.42
"360",1998-12-16,1.19,"Crypto1","12","1",349,1.19
"361",1999-01-12,5.37,"Crypto1","01","1",11,5.37
"362",1999-03-04,0.11,"Crypto1","03","1",62,0.11
"363",1999-04-07,0.06,"Crypto1","04","1",96,0.06
"364",1999-07-15,0.94,"Crypto1","07","1",195,0.94
"365",1999-08-11,0.01,"Crypto1","08","1",222,0.01
"366",1999-09-14,0.35,"Crypto1","09","1",256,0.35
"367",1999-10-05,0.91,"Crypto1","10","1",277,0.91
"368",1999-11-04,0.01,"Crypto1","11","1",307,0.01
"369",1999-12-07,0.07,"Crypto1","12","1",340,0.07
"370",2000-01-11,2.13,"Crypto1","01","1",10,2.13
