"","Value","month","yday","reg"
"1",NA,"01",11,1
"2",NA,"02",43,1
"3",NA,"03",72,1
"4",NA,"04",106,1
"5",NA,"05",129,1
"6",NA,"06",163,1
"7",NA,"07",191,1
"8",NA,"08",218,1
"9",NA,"09",253,1
"10",NA,"10",282,1
"11",NA,"11",314,1
"12",NA,"12",345,1
"13",NA,"01",6,1
"14",NA,"02",43,1
"15",NA,"03",71,1
"16",NA,"04",104,1
"17",NA,"05",129,1
"18",NA,"06",167,1
"19",NA,"07",188,1
"20",NA,"08",228,1
"21",2.08322477810995,"09",259,1
"22",NA,"10",286,1
"23",5.03835680438969,"11",316,1
"24",NA,"12",350,1
"25",NA,"01",13,1
"26",3.5516733781137,"02",41,1
"27",7.34632622830931,"03",70,1
"28",4.07075875013031,"04",110,1
"29",2.39893247259532,"06",159,1
"30",6.12174177406024,"07",189,1
"31",2.95112581447805,"08",216,1
"32",2.50376694592411,"09",243,1
"33",3.0165044061553,"10",286,1
"34",2.32308891775802,"11",313,1
"35",2.62635578577736,"12",349,1
"36",5.38850113164879,"01",11,1
"37",6.19595293025523,"02",40,1
"38",5.93061252567966,"03",62,1
"39",4.04604927194193,"04",96,1
"40",3.41394498078629,"05",125,1
"41",4.55681817576092,"06",158,1
"42",4.01121836862379,"07",195,1
"43",3.61893934247001,"08",222,1
"44",1.73461709915898,"09",256,1
"45",1.37723817706306,"10",277,1
"46",1.48932437788301,"11",307,1
"47",1.27351083641417,"12",340,1
"48",4.92262909872963,"01",10,1
"49",5.75447093212842,"02",38,1
"50",7.13384758098409,"03",68,1
"51",5.31453801375228,"04",101,1
"52",5.78648352281209,"05",131,1
"53",4.0824230911569,"06",157,1
"54",7.31088060597985,"07",188,1
"55",2.36007801238245,"08",221,1
"56",3.06118853914505,"09",255,1
"57",2.95393666642317,"10",283,1
